Dataset,Epoch,Loss,Accuracy,MSE,Split,Model
HUANG,5,0.91649,75.59,0.188511,Validation,D-SCRIPT
GUO,10,0.975117,68.686,0.247235,Validation,D-SCRIPT
DU,9,1.04771,58.969,0.303276,Validation,D-SCRIPT
PAN,9,1.11535,78.633,0.189775,Validation,D-SCRIPT
RICHOUX-REGULAR,1,1.25941,68.187,0.266246,Validation,D-SCRIPT
RICHOUX-STRICT,1,1.68692,67.333,0.274909,Validation,D-SCRIPT
D-SCRIPT UNBAL.,7,0.368274,92.888,0.0664357,Validation,D-SCRIPT
GOLD,2,2.93802,53.54,0.443355,Validation,D-SCRIPT
HUANG,7,0.825992,59.282,0.277316,Validation,Topsy-Turvy
GUO,7,0.941298,61.829,0.272008,Validation,Topsy-Turvy
DU,3,1.48519,61.813,0.32191,Validation,Topsy-Turvy
PAN,2,0.357563,88.975,0.0871554,Validation,Topsy-Turvy
RICHOUX-REGULAR,1,0.913766,71.276,0.223072,Validation,Topsy-Turvy
RICHOUX-STRICT,5,1.42913,59.111,0.330803,Validation,Topsy-Turvy
D-SCRIPT UNBAL.,4,0.34243,92.665,0.0680197,Validation,Topsy-Turvy
GOLD,10,2.74363,53.377,0.444475,Validation,Topsy-Turvy
