Dataset,Epoch,Loss,Accuracy,MSE,Split,Model
HUANG,8,1.83596,67.789,0.295085,Validation,D-SCRIPT
GUO,9,1.01832,68.712,0.24442,Validation,D-SCRIPT
DU,9,3.30727,50.252,0.491066,Validation,D-SCRIPT
PAN,6,0.664576,83.24,0.143445,Validation,D-SCRIPT
RICHOUX-REGULAR,1,1.95395,53.878,0.399118,Validation,D-SCRIPT
RICHOUX-STRICT,1,0.794555,71.111,0.219972,Validation,D-SCRIPT
D-SCRIPT UNBAL.,2,0.216727,93.716,0.0526973,Validation,D-SCRIPT
HUANG,4,1.64813,50.105,0.429553,Validation,Topsy-Turvy
GUO,9,1.12749,64.219,0.282673,Validation,Topsy-Turvy
DU,10,0.749008,71.477,0.216932,Validation,Topsy-Turvy
PAN,7,0.655149,84.573,0.133693,Validation,Topsy-Turvy
RICHOUX-REGULAR,1,0.809061,76.057,0.195457,Validation,Topsy-Turvy
RICHOUX-STRICT,1,1.15643,72,0.219971,Validation,Topsy-Turvy
D-SCRIPT UNBAL.,3,0.296943,92.104,0.0681296,Validation,Topsy-Turvy
