Model	Dataset	Metric	Value	Split
topsyturvy	du	Accuracy	0.7117	Original
topsyturvy	du	Precision	0.8727	Original
topsyturvy	du	Sensitivity	0.4957	Original
topsyturvy	du	Recall	0.4957	Original
topsyturvy	du	Specificity	0.9277	Original
topsyturvy	du	MCC	0.4695	Original
topsyturvy	du	F1	0.6323	Original
topsyturvy	du	AUC	0.842169820557463	Original
topsyturvy	du	AUPR	0.8025096646416758	Original
topsyturvy	du	TP	1392	Original
topsyturvy	du	FP	203	Original
topsyturvy	du	TN	2605	Original
topsyturvy	du	FN	1416	Original
topsyturvy	guo	Accuracy	0.4994	Original
topsyturvy	guo	Precision	0.4815	Original
topsyturvy	guo	Sensitivity	0.0149	Original
topsyturvy	guo	Recall	0.0149	Original
topsyturvy	guo	Specificity	0.984	Original
topsyturvy	guo	MCC	-0.0046	Original
topsyturvy	guo	F1	0.0288	Original
topsyturvy	guo	AUC	0.6112156734693878	Original
topsyturvy	guo	AUPR	0.5669726923606763	Original
topsyturvy	guo	TP	13	Original
topsyturvy	guo	FP	14	Original
topsyturvy	guo	TN	861	Original
topsyturvy	guo	FN	862	Original
topsyturvy	huang	Accuracy	0.501	Original
topsyturvy	huang	Precision	0.5094	Original
topsyturvy	huang	Sensitivity	0.0562	Original
topsyturvy	huang	Recall	0.0562	Original
topsyturvy	huang	Specificity	0.9458	Original
topsyturvy	huang	MCC	0.0046	Original
topsyturvy	huang	F1	0.1013	Original
topsyturvy	huang	AUC	0.638454861111111	Original
topsyturvy	huang	AUPR	0.5781040069173548	Original
topsyturvy	huang	TP	27	Original
topsyturvy	huang	FP	26	Original
topsyturvy	huang	TN	454	Original
topsyturvy	huang	FN	453	Original
topsyturvy	pan	Accuracy	0.5314	Original
topsyturvy	pan	Precision	0.973	Original
topsyturvy	pan	Sensitivity	0.0646	Original
topsyturvy	pan	Recall	0.0646	Original
topsyturvy	pan	Specificity	0.9982	Original
topsyturvy	pan	MCC	0.1753	Original
topsyturvy	pan	F1	0.1212	Original
topsyturvy	pan	AUC	0.8564024574261803	Original
topsyturvy	pan	AUPR	0.849788303342365	Original
topsyturvy	pan	TP	288	Original
topsyturvy	pan	FP	8	Original
topsyturvy	pan	TN	4449	Original
topsyturvy	pan	FN	4169	Original
topsyturvy	richoux_regular	Accuracy	0.5129	Original
topsyturvy	richoux_regular	Precision	0.8692	Original
topsyturvy	richoux_regular	Sensitivity	0.0303	Original
topsyturvy	richoux_regular	Recall	0.0303	Original
topsyturvy	richoux_regular	Specificity	0.9954	Original
topsyturvy	richoux_regular	MCC	0.0983	Original
topsyturvy	richoux_regular	F1	0.0585	Original
topsyturvy	richoux_regular	AUC	0.606682046022279	Original
topsyturvy	richoux_regular	AUPR	0.6183605468379738	Original
topsyturvy	richoux_regular	TP	186	Original
topsyturvy	richoux_regular	FP	28	Original
topsyturvy	richoux_regular	TN	6114	Original
topsyturvy	richoux_regular	FN	5956	Original
topsyturvy	richoux_strict	Accuracy	0.4864	Original
topsyturvy	richoux_strict	Precision	0.4694	Original
topsyturvy	richoux_strict	Sensitivity	0.2091	Original
topsyturvy	richoux_strict	Recall	0.2091	Original
topsyturvy	richoux_strict	Specificity	0.7636	Original
topsyturvy	richoux_strict	MCC	-0.0328	Original
topsyturvy	richoux_strict	F1	0.2893	Original
topsyturvy	richoux_strict	AUC	0.38086776859504134	Original
topsyturvy	richoux_strict	AUPR	0.4477169973460996	Original
topsyturvy	richoux_strict	TP	46	Original
topsyturvy	richoux_strict	FP	52	Original
topsyturvy	richoux_strict	TN	168	Original
topsyturvy	richoux_strict	FN	174	Original
topsyturvy	gold	Accuracy	0.5588	Original
topsyturvy	gold	Precision	0.6455	Original
topsyturvy	gold	Sensitivity	0.2609	Original
topsyturvy	gold	Recall	0.2609	Original
topsyturvy	gold	Specificity	0.8567	Original
topsyturvy	gold	MCC	0.1464	Original
topsyturvy	gold	F1	0.3716	Original
topsyturvy	gold	AUC	0.5874914126082926	Original
topsyturvy	gold	AUPR	0.5898690939673223	Original
topsyturvy	gold	TP	5380	Original
topsyturvy	gold	FP	2955	Original
topsyturvy	gold	TN	17668	Original
topsyturvy	gold	FN	15243	Original
topsyturvy	dscript	Accuracy	0.9243	Original
topsyturvy	dscript	Precision	0.8859	Original
topsyturvy	dscript	Sensitivity	0.1919	Original
topsyturvy	dscript	Recall	0.1919	Original
topsyturvy	dscript	Specificity	0.9975	Original
topsyturvy	dscript	MCC	0.3919	Original
topsyturvy	dscript	F1	0.3154	Original
topsyturvy	dscript	AUC	0.9012375594037265	Original
topsyturvy	dscript	AUPR	0.5731788036355273	Original
topsyturvy	dscript	TP	823	Original
topsyturvy	dscript	FP	106	Original
topsyturvy	dscript	TN	42784	Original
topsyturvy	dscript	FN	3466	Original
