Model	Dataset	Metric	Value	Split
topsyturvy	du	Accuracy	0.6191	Original
topsyturvy	du	Precision	0.8814	Original
topsyturvy	du	Sensitivity	0.2753	Original
topsyturvy	du	Recall	0.2753	Original
topsyturvy	du	Specificity	0.963	Original
topsyturvy	du	MCC	0.3282	Original
topsyturvy	du	F1	0.4195	Original
topsyturvy	du	AUC	0.7723903037515929	Original
topsyturvy	du	AUPR	0.7744917211829265	Original
topsyturvy	du	TP	773	Original
topsyturvy	du	FP	104	Original
topsyturvy	du	TN	2704	Original
topsyturvy	du	FN	2035	Original
topsyturvy	guo	Accuracy	0.6183	Original
topsyturvy	guo	Precision	0.6292	Original
topsyturvy	guo	Sensitivity	0.576	Original
topsyturvy	guo	Recall	0.576	Original
topsyturvy	guo	Specificity	0.6606	Original
topsyturvy	guo	MCC	0.2374	Original
topsyturvy	guo	F1	0.6014	Original
topsyturvy	guo	AUC	0.6519849795918367	Original
topsyturvy	guo	AUPR	0.5936132297071759	Original
topsyturvy	guo	TP	504	Original
topsyturvy	guo	FP	297	Original
topsyturvy	guo	TN	578	Original
topsyturvy	guo	FN	371	Original
topsyturvy	huang	Accuracy	0.6021	Original
topsyturvy	huang	Precision	0.9537	Original
topsyturvy	huang	Sensitivity	0.2146	Original
topsyturvy	huang	Recall	0.2146	Original
topsyturvy	huang	Specificity	0.9896	Original
topsyturvy	huang	MCC	0.3231	Original
topsyturvy	huang	F1	0.3503	Original
topsyturvy	huang	AUC	0.8853884548611112	Original
topsyturvy	huang	AUPR	0.888885704235183	Original
topsyturvy	huang	TP	103	Original
topsyturvy	huang	FP	5	Original
topsyturvy	huang	TN	475	Original
topsyturvy	huang	FN	377	Original
topsyturvy	pan	Accuracy	0.8908	Original
topsyturvy	pan	Precision	0.9467	Original
topsyturvy	pan	Sensitivity	0.8284	Original
topsyturvy	pan	Recall	0.8284	Original
topsyturvy	pan	Specificity	0.9533	Original
topsyturvy	pan	MCC	0.7879	Original
topsyturvy	pan	F1	0.8836	Original
topsyturvy	pan	AUC	0.9547839251131485	Original
topsyturvy	pan	AUPR	0.9531495699321691	Original
topsyturvy	pan	TP	3692	Original
topsyturvy	pan	FP	208	Original
topsyturvy	pan	TN	4249	Original
topsyturvy	pan	FN	765	Original
topsyturvy	richoux_regular	Accuracy	0.7137	Original
topsyturvy	richoux_regular	Precision	0.8466	Original
topsyturvy	richoux_regular	Sensitivity	0.522	Original
topsyturvy	richoux_regular	Recall	0.522	Original
topsyturvy	richoux_regular	Specificity	0.9054	Original
topsyturvy	richoux_regular	MCC	0.4628	Original
topsyturvy	richoux_regular	F1	0.6458	Original
topsyturvy	richoux_regular	AUC	0.8533963270862674	Original
topsyturvy	richoux_regular	AUPR	0.8056448206335436	Original
topsyturvy	richoux_regular	TP	3206	Original
topsyturvy	richoux_regular	FP	581	Original
topsyturvy	richoux_regular	TN	5561	Original
topsyturvy	richoux_regular	FN	2936	Original
topsyturvy	richoux_strict	Accuracy	0.6045	Original
topsyturvy	richoux_strict	Precision	0.7949	Original
topsyturvy	richoux_strict	Sensitivity	0.2818	Original
topsyturvy	richoux_strict	Recall	0.2818	Original
topsyturvy	richoux_strict	Specificity	0.9273	Original
topsyturvy	richoux_strict	MCC	0.2738	Original
topsyturvy	richoux_strict	F1	0.4161	Original
topsyturvy	richoux_strict	AUC	0.7230165289256199	Original
topsyturvy	richoux_strict	AUPR	0.689420286264898	Original
topsyturvy	richoux_strict	TP	62	Original
topsyturvy	richoux_strict	FP	16	Original
topsyturvy	richoux_strict	TN	204	Original
topsyturvy	richoux_strict	FN	158	Original
topsyturvy	gold	Accuracy	0.5305	Original
topsyturvy	gold	Precision	0.7991	Original
topsyturvy	gold	Sensitivity	0.0814	Original
topsyturvy	gold	Recall	0.0814	Original
topsyturvy	gold	Specificity	0.9795	Original
topsyturvy	gold	MCC	0.1386	Original
topsyturvy	gold	F1	0.1478	Original
topsyturvy	gold	AUC	0.6030097357955743	Original
topsyturvy	gold	AUPR	0.6217889955646704	Original
topsyturvy	gold	TP	1679	Original
topsyturvy	gold	FP	422	Original
topsyturvy	gold	TN	20201	Original
topsyturvy	gold	FN	18944	Original
topsyturvy	dscript	Accuracy	0.9271	Original
topsyturvy	dscript	Precision	0.8581	Original
topsyturvy	dscript	Sensitivity	0.2369	Original
topsyturvy	dscript	Recall	0.2369	Original
topsyturvy	dscript	Specificity	0.9961	Original
topsyturvy	dscript	MCC	0.4282	Original
topsyturvy	dscript	F1	0.3713	Original
topsyturvy	dscript	AUC	0.8788989966633726	Original
topsyturvy	dscript	AUPR	0.545997945379163	Original
topsyturvy	dscript	TP	1016	Original
topsyturvy	dscript	FP	168	Original
topsyturvy	dscript	TN	42722	Original
topsyturvy	dscript	FN	3273	Original
