Model,Dataset,Accuracy,Partition
deepPPI_LSTM,huang,0.4987,0->1
deepPPI_LSTM,huang,0.548,both->0
deepPPI_LSTM,huang,0.4993,both->1
deepPPI_LSTM,pan,0.5228,0->1
deepPPI_LSTM,pan,0.8035,both->0
deepPPI_LSTM,pan,0.9258,both->1
deepPPI_LSTM,richoux,0.5281,0->1
deepPPI_LSTM,richoux,0.7735,both->0
deepPPI_LSTM,richoux,0.7979,both->1
PIPR,du,0.4905,0->1
PIPR,du,0.8379,both->0
PIPR,du,0.8554,both->1
PIPR,guo,0.5609,0->1
PIPR,guo,0.678,both->0
PIPR,guo,0.8284,both->1
PIPR,huang,0.5147,0->1
PIPR,huang,0.6784,both->0
PIPR,huang,0.8997,both->1
PIPR,pan,0.4967,0->1
PIPR,pan,0.8114,both->0
PIPR,pan,0.9539,both->1
PIPR,richoux,0.5419,0->1
PIPR,richoux,0.7806,both->0
PIPR,richoux,0.8211,both->1
SPRINT,du,0.6884,both->0
SPRINT,du,0.6901,both->1
SPRINT,du,0.5164,0->1
SPRINT,guo,0.6753,both->0
SPRINT,guo,0.6217,both->1
SPRINT,guo,0.481,0->1
SPRINT,huang,0.6604,both->0
SPRINT,huang,0.5952,both->1
SPRINT,huang,0.4855,0->1
SPRINT,richoux,0.7823,both->0
SPRINT,richoux,0.748,both->1
SPRINT,richoux,0.577,0->1
SPRINT,pan,0.7321,both->0
SPRINT,pan,0.7077,both->1
SPRINT,pan,0.448,0->1
