Model,Dataset,AUC,Partition
degree_hf,huang,0.5,0->1
degree_cons,huang,0.831120331950208,both->0
degree_hf,huang,0.897095435684647,both->0
degree_cons,huang,0.902524544179523,both->1
degree_hf,huang,0.899719495091164,both->1
degree_cons,pan,0.5,0->1
degree_hf,pan,0.5,0->1
degree_cons,pan,0.858048043090876,both->0
degree_hf,pan,0.897985494886888,both->0
degree_cons,pan,0.814687680874171,both->1
degree_hf,pan,0.82376562762405,both->1
degree_cons,richoux,0.5,0->1
degree_hf,richoux,0.5,0->1
degree_cons,richoux,0.6748521838642,both->0
degree_hf,richoux,0.730497806599275,both->0
degree_cons,richoux,0.714259121370067,both->1
degree_hf,richoux,0.77271034996277,both->1
DeepFE,dscript,0.6166,0->1
DeepFE,dscript,0.8719,both->0
DeepFE,dscript,0.9379,both->1
DeepFE,du,0.5605,0->1
DeepFE,du,0.9354,both->0
DeepFE,du,0.9506,both->1
DeepFE,guo,0.5821,0->1
DeepFE,guo,0.911,both->0
DeepFE,guo,0.9473,both->1
DeepFE,huang,0.5693,0->1
DeepFE,huang,0.9881,both->0
DeepFE,huang,0.9497,both->1
DeepFE,pan,0.537,0->1
DeepFE,pan,0.9829,both->0
DeepFE,pan,0.8637,both->1
DeepFE,richoux,0.5743,0->1
DeepFE,richoux,0.838,both->0
DeepFE,richoux,0.8676,both->1
deepPPI_FC,dscript,0.5011,0->1
deepPPI_FC,dscript,0.7757,both->0
deepPPI_FC,dscript,0.8444,both->1
deepPPI_FC,du,0.519,0->1
deepPPI_FC,du,0.8769,both->0
deepPPI_FC,du,0.8964,both->1
deepPPI_FC,guo,0.5047,0->1
deepPPI_FC,guo,0.8469,both->0
deepPPI_FC,guo,0.8669,both->1
deepPPI_FC,huang,0.5235,0->1
deepPPI_FC,huang,0.9653,both->0
deepPPI_FC,huang,0.9279,both->1
deepPPI_FC,pan,0.5048,0->1
deepPPI_FC,pan,0.964,both->0
deepPPI_FC,pan,0.8532,both->1
deepPPI_FC,richoux,0.5177,0->1
deepPPI_FC,richoux,0.7787,both->0
deepPPI_FC,richoux,0.8115,both->1
deepPPI_LSTM,dscript,0.5245,0->1
deepPPI_LSTM,dscript,0.7139,both->0
deepPPI_LSTM,dscript,0.8377,both->1
deepPPI_LSTM,du,0.4952,0->1
deepPPI_LSTM,du,0.8455,both->0
deepPPI_LSTM,du,0.8611,both->1
deepPPI_LSTM,guo,0.5161,0->1
deepPPI_LSTM,guo,0.5234,both->0
deepPPI_LSTM,guo,0.81,both->1
deepPPI_LSTM,huang,0.5,0->1
deepPPI_LSTM,huang,0.516,both->0
deepPPI_LSTM,huang,0.791,both->1
deepPPI_LSTM,pan,0.5216,0->1
deepPPI_LSTM,pan,0.9129,both->0
deepPPI_LSTM,pan,0.8158,both->1
deepPPI_LSTM,richoux,0.5212,0->1
deepPPI_LSTM,richoux,0.7322,both->0
deepPPI_LSTM,richoux,0.7924,both->1
PIPR,dscript,0.6613,0->1
PIPR,dscript,0.8849,both->0
PIPR,dscript,0.9163,both->1
PIPR,du,0.5851,0->1
PIPR,du,0.9238,both->0
PIPR,du,0.9321,both->1
PIPR,guo,0.6304,0->1
PIPR,guo,0.8693,both->0
PIPR,guo,0.8984,both->1
PIPR,huang,0.5306,0->1
PIPR,huang,0.9274,both->0
PIPR,huang,0.9374,both->1
PIPR,pan,0.4989,0->1
PIPR,pan,0.9674,both->0
PIPR,pan,0.8631,both->1
PIPR,richoux,0.6353,0->1
PIPR,richoux,0.8322,both->0
PIPR,richoux,0.8745,both->1
SPRINT,du,0.6897,both->0
SPRINT,du,0.693,both->1
SPRINT,du,0.518,0->1
SPRINT,guo,0.6694,both->0
SPRINT,guo,0.6335,both->1
SPRINT,guo,0.488,0->1
SPRINT,huang,0.6746,both->0
SPRINT,huang,0.5923,both->1
SPRINT,huang,0.4671,0->1
SPRINT,richoux,0.7661,both->0
SPRINT,richoux,0.7375,both->1
SPRINT,richoux,0.5571,0->1
SPRINT,pan,0.7489,both->0
SPRINT,pan,0.6804,both->1
SPRINT,pan,0.4339,0->1
SPRINT,dscript,0.7824,both->0
SPRINT,dscript,0.8165,both->1
SPRINT,dscript,0.6462,0->1
D-SCRIPT,du,0.710531118817302,both->0
D-SCRIPT,du,0.49530736743313,both->1
D-SCRIPT,du,0.5,0->1
D-SCRIPT,guo,0.509864712514093,both->0
D-SCRIPT,guo,0.496612466124661,both->1
D-SCRIPT,guo,0.499322493224932,0->1
D-SCRIPT,huang,0.5,both->0
D-SCRIPT,huang,0.494957983193277,both->1
D-SCRIPT,huang,0.5,0->1
D-SCRIPT,richoux,0.5,both->0
D-SCRIPT,richoux,0.523895582329317,both->1
D-SCRIPT,richoux,0.493373493975904,0->1
D-SCRIPT,pan,0.707752819637949,both->0
D-SCRIPT,pan,0.501834085778781,both->1
D-SCRIPT,pan,0.500564334085779,0->1
D-SCRIPT,dscript,0.610405455215628,both->0
D-SCRIPT,dscript,0.518129207511515,both->1
D-SCRIPT,dscript,0.527613086098972,0->1
Topsy_Turvy,du,0.547088884832999,both->0
Topsy_Turvy,du,0.558892538714219,both->1
Topsy_Turvy,du,0.497888315344909,0->1
Topsy_Turvy,guo,0.481116121758737,both->0
Topsy_Turvy,guo,0.552168021680217,both->1
Topsy_Turvy,guo,0.551490514905149,0->1
Topsy_Turvy,huang,0.5,both->0
Topsy_Turvy,huang,0.491596638655462,both->1
Topsy_Turvy,huang,0.522689075630252,0->1
Topsy_Turvy,richoux,0.574336090552895,both->0
Topsy_Turvy,richoux,0.677610441767068,both->1
Topsy_Turvy,richoux,0.478714859437751,0->1
Topsy_Turvy,pan,0.634157899725145,both->0
Topsy_Turvy,pan,0.762133182844244,both->1
Topsy_Turvy,pan,0.534283295711061,0->1
Topsy_Turvy,dscript,0.512605971249539,both->0
Topsy_Turvy,dscript,0.585839140191331,both->1
Topsy_Turvy,dscript,0.506176922168419,0->1
