Model,Dataset,Accuracy,Partition
RF_MDS,du,0.500635324015248,0->1
RF_MDS,du,0.875628140703518,both->0
RF_MDS,du,0.857899195256247,both->1
SVM_MDS,du,0.513553578991953,0->1
SVM_MDS,du,0.850188442211055,both->0
SVM_MDS,du,0.866370182126218,both->1
RF_node2vec,du,0.499326145552561,0->1
RF_node2vec,du,0.873994974874372,both->0
RF_node2vec,du,0.85062893081761,both->1
SVM_node2vec,du,0.52088948787062,0->1
SVM_node2vec,du,0.811369346733668,both->0
SVM_node2vec,du,0.788409703504043,both->1
RF_PCA,du,0.504235493434985,0->1
RF_PCA,du,0.87355527638191,both->0
RF_PCA,du,0.855993223210504,both->1
SVM_PCA,du,0.527742481999153,0->1
SVM_PCA,du,0.707412060301508,both->0
SVM_PCA,du,0.642100804743753,both->1
RF_MDS,guo,0.522727272727273,0->1
RF_MDS,guo,0.777910549675657,both->0
RF_MDS,guo,0.904692082111437,both->1
SVM_MDS,guo,0.491935483870968,0->1
SVM_MDS,guo,0.696995561625128,both->0
SVM_MDS,guo,0.809384164222874,both->1
RF_node2vec,guo,0.516006097560976,0->1
RF_node2vec,guo,0.788494366678047,both->0
RF_node2vec,guo,0.892530487804878,both->1
SVM_node2vec,guo,0.602134146341463,0->1
SVM_node2vec,guo,0.682144076476613,both->0
SVM_node2vec,guo,0.760670731707317,both->1
RF_PCA,guo,0.514662756598241,0->1
RF_PCA,guo,0.774325708432912,both->0
RF_PCA,guo,0.903225806451613,both->1
SVM_PCA,guo,0.537390029325513,0->1
SVM_PCA,guo,0.649709798566064,both->0
SVM_PCA,guo,0.679618768328446,both->1
RF_MDS,huang,0.516042780748663,0->1
RF_MDS,huang,0.838738738738739,both->0
RF_MDS,huang,0.971256684491979,both->1
SVM_MDS,huang,0.515374331550802,0->1
SVM_MDS,huang,0.801801801801802,both->0
SVM_MDS,huang,0.871657754010695,both->1
RF_node2vec,huang,0.530013642564802,0->1
RF_node2vec,huang,0.821621621621622,both->0
RF_node2vec,huang,0.909276944065484,both->1
SVM_node2vec,huang,0.549113233287858,0->1
SVM_node2vec,huang,0.670720720720721,both->0
SVM_node2vec,huang,0.633015006821282,both->1
RF_PCA,huang,0.528743315508021,0->1
RF_PCA,huang,0.826576576576577,both->0
RF_PCA,huang,0.893048128342246,both->1
SVM_PCA,huang,0.532754010695187,0->1
SVM_PCA,huang,0.676126126126126,both->0
SVM_PCA,huang,0.584224598930481,both->1
RF_MDS,pan,0.485924785572905,0->1
RF_MDS,pan,0.811422927593488,both->0
RF_MDS,pan,0.972619309434792,both->1
SVM_MDS,pan,0.503078953155927,0->1
SVM_MDS,pan,0.813738846127648,both->0
SVM_MDS,pan,0.956014954915329,both->1
RF_node2vec,pan,0.537411190053286,0->1
RF_node2vec,pan,0.771337102377222,both->0
RF_node2vec,pan,0.944160746003552,both->1
SVM_node2vec,pan,0.58869893428064,0->1
SVM_node2vec,pan,0.709794973094476,both->0
SVM_node2vec,pan,0.71414298401421,both->1
RF_PCA,pan,0.548053661755003,0->1
RF_PCA,pan,0.811082351338465,both->0
RF_PCA,pan,0.957554431493292,both->1
SVM_PCA,pan,0.52034308335166,0->1
SVM_PCA,pan,0.709624684966964,both->0
SVM_PCA,pan,0.697382889817462,both->1
RF_MDS,richoux,0.499562937062937,0->1
RF_MDS,richoux,0.773267787152063,both->0
RF_MDS,richoux,0.808056526806527,both->1
SVM_MDS,richoux,0.504079254079254,0->1
SVM_MDS,richoux,0.753172125157776,both->0
SVM_MDS,richoux,0.784819347319347,both->1
RF_node2vec,richoux,0.503814464449191,0->1
RF_node2vec,richoux,0.777220487610443,both->0
RF_node2vec,richoux,0.760604211168752,both->1
SVM_node2vec,richoux,0.519987793713763,0->1
SVM_node2vec,richoux,0.691157908722514,both->0
SVM_node2vec,richoux,0.652044552944767,both->1
RF_PCA,richoux,0.512966200466201,0->1
RF_PCA,richoux,0.78147213180097,both->0
RF_PCA,richoux,0.779356060606061,both->1
SVM_PCA,richoux,0.500801282051282,0->1
SVM_PCA,richoux,0.670862950906796,both->0
SVM_PCA,richoux,0.610358391608392,both->1
DeepFE,du,0.5267,0->1
DeepFE,du,0.8737,both->0
DeepFE,du,0.8878,both->1
DeepFE,guo,0.5007,0->1
DeepFE,guo,0.7963,both->0
DeepFE,guo,0.879,both->1
DeepFE,huang,0.512,0->1
DeepFE,huang,0.8419,both->0
DeepFE,huang,0.9519,both->1
DeepFE,pan,0.4969,0->1
DeepFE,pan,0.8169,both->0
DeepFE,pan,0.9681,both->1
DeepFE,richoux,0.5184,0->1
DeepFE,richoux,0.778,both->0
DeepFE,richoux,0.8065,both->1
deepPPI_LSTM,du,0.5157,0->1
deepPPI_LSTM,du,0.8687,both->0
deepPPI_LSTM,du,0.8464,both->1
deepPPI_LSTM,guo,0.4934,0->1
deepPPI_LSTM,guo,0.5519,both->0
deepPPI_LSTM,guo,0.5579,both->1
deepPPI_LSTM,huang,0.5,0->1
deepPPI_LSTM,huang,0.7991,both->0
deepPPI_LSTM,huang,0.5174,both->1
deepPPI_LSTM,pan,0.511,0->1
deepPPI_LSTM,pan,0.7801,both->0
deepPPI_LSTM,pan,0.7274,both->1
deepPPI_LSTM,richoux,0.5354,0->1
deepPPI_LSTM,richoux,0.7713,both->0
deepPPI_LSTM,richoux,0.8083,both->1
deepPPI_FC,du,0.5019,0->1
deepPPI_FC,du,0.8799,both->0
deepPPI_FC,du,0.8941,both->1
deepPPI_FC,guo,0.5565,0->1
deepPPI_FC,guo,0.7655,both->0
deepPPI_FC,guo,0.8541,both->1
deepPPI_FC,huang,0.5174,0->1
deepPPI_FC,huang,0.8443,both->0
deepPPI_FC,huang,0.8664,both->1
deepPPI_FC,pan,0.5137,0->1
deepPPI_FC,pan,0.8538,both->0
deepPPI_FC,pan,0.9697,both->1
deepPPI_FC,richoux,0.5253,0->1
deepPPI_FC,richoux,0.7906,both->0
deepPPI_FC,richoux,0.8126,both->1
PIPR,du,0.5811,0->1
PIPR,du,0.8501,both->0
PIPR,du,0.8734,both->1
PIPR,guo,0.5572,0->1
PIPR,guo,0.7228,both->0
PIPR,guo,0.8277,both->1
PIPR,huang,0.5187,0->1
PIPR,huang,0.7595,both->0
PIPR,huang,0.871,both->1
PIPR,pan,0.499,0->1
PIPR,pan,0.8147,both->0
PIPR,pan,0.9558,both->1
PIPR,richoux,0.5449,0->1
PIPR,richoux,0.7777,both->0
PIPR,richoux,0.8271,both->1
SPRINT,du,0.6894,both->0
SPRINT,du,0.6913,both->1
SPRINT,du,0.5192,0->1
SPRINT,guo,0.6769,both->0
SPRINT,guo,0.6253,both->1
SPRINT,guo,0.483,0->1
SPRINT,huang,0.6597,both->0
SPRINT,huang,0.5976,both->1
SPRINT,huang,0.4891,0->1
SPRINT,richoux,0.782,both->0
SPRINT,richoux,0.7485,both->1
SPRINT,richoux,0.5771,0->1
SPRINT,pan,0.7313,both->0
SPRINT,pan,0.7055,both->1
SPRINT,pan,0.447,0->1
