Model,Dataset,Recall,Partition
degree_cons,huang,0.673029045643154,both->0
degree_hf,huang,0.837344398340249,both->0
degree_cons,huang,0.894810659186536,both->1
degree_hf,huang,0.907433380084152,both->1
degree_cons,pan,1,0->1
degree_hf,pan,1,0->1
degree_cons,pan,0.746035822045323,both->0
degree_hf,pan,0.835976118636451,both->0
degree_cons,pan,0.881452318460192,both->1
degree_hf,pan,0.903980752405949,both->1
degree_cons,richoux,1,0->1
degree_hf,richoux,1,0->1
degree_cons,richoux,0.974632843791722,both->0
degree_hf,richoux,0.954892237268739,both->0
degree_cons,richoux,0.915115413253909,both->1
degree_hf,richoux,0.878629932985853,both->1
DeepFE,dscript,0.0865,0->1
DeepFE,dscript,0.4196,both->0
DeepFE,dscript,0.6175,both->1
DeepFE,du,1,0->1
DeepFE,du,1,both->0
DeepFE,du,1,both->1
DeepFE,guo,0.9199,0->1
DeepFE,guo,0.8875,both->0
DeepFE,guo,0.9965,both->1
DeepFE,huang,0.4039,0->1
DeepFE,huang,0.8531,both->0
DeepFE,huang,1,both->1
DeepFE,pan,0.9379,0->1
DeepFE,pan,0.9979,both->0
DeepFE,pan,0.9891,both->1
DeepFE,richoux,0.8303,0->1
DeepFE,richoux,0.9997,both->0
DeepFE,richoux,1,both->1
deepPPI_FC,dscript,0,0->1
deepPPI_FC,dscript,0.0896,both->0
deepPPI_FC,dscript,0.26,both->1
deepPPI_FC,du,0.9116,0->1
deepPPI_FC,du,0.7033,both->0
deepPPI_FC,du,0.9807,both->1
deepPPI_FC,guo,0.1429,0->1
deepPPI_FC,guo,0.3453,both->0
deepPPI_FC,guo,0.9524,both->1
deepPPI_FC,huang,0.9521,0->1
deepPPI_FC,huang,0.3653,both->0
deepPPI_FC,huang,0.5256,both->1
deepPPI_FC,pan,0.9992,0->1
deepPPI_FC,pan,0.8006,both->0
deepPPI_FC,pan,0.9939,both->1
deepPPI_FC,richoux,0.0143,0->1
deepPPI_FC,richoux,0.6284,both->0
deepPPI_FC,richoux,0.7375,both->1
deepPPI_LSTM,dscript,0,0->1
deepPPI_LSTM,dscript,0,both->0
deepPPI_LSTM,dscript,0,both->1
deepPPI_LSTM,du,1,0->1
deepPPI_LSTM,du,1,both->0
deepPPI_LSTM,du,1,both->1
deepPPI_LSTM,guo,1,0->1
deepPPI_LSTM,guo,0.9899,both->0
deepPPI_LSTM,guo,1,both->1
deepPPI_LSTM,huang,0.9968,0->1
deepPPI_LSTM,huang,0.9719,both->0
deepPPI_LSTM,huang,1,both->1
deepPPI_LSTM,pan,1,0->1
deepPPI_LSTM,pan,1,both->0
deepPPI_LSTM,pan,1,both->1
deepPPI_LSTM,richoux,0.0035,0->1
deepPPI_LSTM,richoux,1,both->0
deepPPI_LSTM,richoux,0,both->1
PIPR,dscript,0,0->1
PIPR,dscript,0.06,both->0
PIPR,dscript,0.2141,both->1
PIPR,du,0.4329,0->1
PIPR,du,0.7343,both->0
PIPR,du,0.5903,both->1
PIPR,guo,0.8931,0->1
PIPR,guo,0.6358,both->0
PIPR,guo,0.7735,both->1
PIPR,huang,0.1234,0->1
PIPR,huang,0.9137,both->0
PIPR,huang,1,both->1
PIPR,pan,0.7196,0->1
PIPR,pan,0.9049,both->0
PIPR,pan,0.8745,both->1
PIPR,richoux,0.0981,0->1
PIPR,richoux,0.669,both->0
PIPR,richoux,0.6996,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
SPRINT,huang,0.4813,0->1
SPRINT,richoux,0.789,both->0
SPRINT,richoux,0.7911,both->1
SPRINT,richoux,0.5963,0->1
SPRINT,pan,0.7627,both->0
SPRINT,pan,0.7152,both->1
SPRINT,pan,0.4811,0->1
SPRINT,dscript,0.3713,both->0
SPRINT,dscript,0.4904,both->1
SPRINT,dscript,0.1673,0->1
D-SCRIPT,du,5e-04,both->0
D-SCRIPT,du,0.0211,both->1
D-SCRIPT,du,0.0347,0->1
D-SCRIPT,guo,6e-04,both->0
D-SCRIPT,guo,0.1328,both->1
D-SCRIPT,guo,0,0->1
D-SCRIPT,huang,0.7353,both->0
D-SCRIPT,huang,0.1697,both->1
D-SCRIPT,huang,0.0101,0->1
D-SCRIPT,richoux,0.248,both->0
D-SCRIPT,richoux,0.2857,both->1
D-SCRIPT,richoux,0.1261,0->1
D-SCRIPT,pan,0.5904,both->0
D-SCRIPT,pan,0.7458,both->1
D-SCRIPT,pan,0.5553,0->1
D-SCRIPT,dscript,0.2015,both->0
D-SCRIPT,dscript,0.4001,both->1
D-SCRIPT,dscript,0.1389,0->1
Topsy_Turvy,du,0.7406,both->0
Topsy_Turvy,du,0.4833,both->1
Topsy_Turvy,du,0.6828,0->1
Topsy_Turvy,guo,0.4718,both->0
Topsy_Turvy,guo,0.0068,both->1
Topsy_Turvy,guo,0,0->1
Topsy_Turvy,huang,0,both->0
Topsy_Turvy,huang,0,both->1
Topsy_Turvy,huang,0,0->1
Topsy_Turvy,richoux,0.4911,both->0
Topsy_Turvy,richoux,0.0062,both->1
Topsy_Turvy,richoux,0.0745,0->1
Topsy_Turvy,pan,0.0057,both->0
Topsy_Turvy,pan,0.748,both->1
Topsy_Turvy,pan,0.4738,0->1
Topsy_Turvy,dscript,0.0076,both->0
Topsy_Turvy,dscript,0.0428,both->1
Topsy_Turvy,dscript,0.1444,0->1
