Model,Dataset,Specificity,Partition
degree_cons,huang,0.989211618257261,both->0
degree_hf,huang,0.956846473029046,both->0
degree_cons,huang,0.91023842917251,both->1
degree_hf,huang,0.892005610098177,both->1
degree_cons,pan,0,0->1
degree_hf,pan,0,0->1
degree_cons,pan,0.970060264136428,both->0
degree_hf,pan,0.959994871137325,both->0
degree_cons,pan,0.74792304328815,both->1
degree_hf,pan,0.743550502842151,both->1
degree_cons,richoux,0,0->1
degree_hf,richoux,0,0->1
degree_cons,richoux,0.375071523936678,both->0
degree_hf,richoux,0.506103375929811,both->0
degree_cons,richoux,0.513402829486225,both->1
degree_hf,richoux,0.666790766939687,both->1
DeepFE,dscript,0.9821,0->1
DeepFE,dscript,0.9348,both->0
DeepFE,dscript,0.9895,both->1
DeepFE,du,8e-04,0->1
DeepFE,du,0,both->0
DeepFE,du,0,both->1
DeepFE,guo,0.1208,0->1
DeepFE,guo,0.2599,both->0
DeepFE,guo,0.0302,both->1
DeepFE,huang,0.7349,0->1
DeepFE,huang,0.2041,both->0
DeepFE,huang,0.0028,both->1
DeepFE,pan,0.0638,0->1
DeepFE,pan,0.041,both->0
DeepFE,pan,0.2042,both->1
DeepFE,richoux,0.1535,0->1
DeepFE,richoux,0.0023,both->0
DeepFE,richoux,0,both->1
deepPPI_FC,dscript,1,0->1
deepPPI_FC,dscript,0.9985,both->0
deepPPI_FC,dscript,1,both->1
deepPPI_FC,du,0.1365,0->1
deepPPI_FC,du,0.8174,both->0
deepPPI_FC,du,0.4025,both->1
deepPPI_FC,guo,0.8528,0->1
deepPPI_FC,guo,0.8998,both->0
deepPPI_FC,guo,0.685,both->1
deepPPI_FC,huang,0.0602,0->1
deepPPI_FC,huang,0.9366,both->0
deepPPI_FC,huang,0.8571,both->1
deepPPI_FC,pan,5e-04,0->1
deepPPI_FC,pan,0.6777,both->0
deepPPI_FC,pan,0.7088,both->1
deepPPI_FC,richoux,0.9919,0->1
deepPPI_FC,richoux,0.8785,both->0
deepPPI_FC,richoux,0.8817,both->1
deepPPI_LSTM,dscript,1,0->1
deepPPI_LSTM,dscript,1,both->0
deepPPI_LSTM,dscript,1,both->1
deepPPI_LSTM,du,0,0->1
deepPPI_LSTM,du,0,both->0
deepPPI_LSTM,du,0,both->1
deepPPI_LSTM,guo,0,0->1
deepPPI_LSTM,guo,0.0176,both->0
deepPPI_LSTM,guo,0,both->1
deepPPI_LSTM,huang,0.003,0->1
deepPPI_LSTM,huang,0.0044,both->0
deepPPI_LSTM,huang,0,both->1
deepPPI_LSTM,pan,0,0->1
deepPPI_LSTM,pan,0,both->0
deepPPI_LSTM,pan,0,both->1
deepPPI_LSTM,richoux,0.9954,0->1
deepPPI_LSTM,richoux,0,both->0
deepPPI_LSTM,richoux,1,both->1
PIPR,dscript,1,0->1
PIPR,dscript,0.9857,both->0
PIPR,dscript,0.9983,both->1
PIPR,du,0.6093,0->1
PIPR,du,0.7943,both->0
PIPR,du,0.9686,both->1
PIPR,guo,0.2056,0->1
PIPR,guo,0.5599,both->0
PIPR,guo,0.6039,both->1
PIPR,huang,0.906,0->1
PIPR,huang,0.1303,both->0
PIPR,huang,0,both->1
PIPR,pan,0.3128,0->1
PIPR,pan,0.9147,both->0
PIPR,pan,0.7456,both->1
PIPR,richoux,0.9704,0->1
PIPR,richoux,0.8622,both->0
PIPR,richoux,0.9125,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
SPRINT,huang,0.4813,0->1
SPRINT,richoux,0.789,both->0
SPRINT,richoux,0.7911,both->1
SPRINT,richoux,0.5963,0->1
SPRINT,pan,0.7627,both->0
SPRINT,pan,0.7152,both->1
SPRINT,pan,0.4811,0->1
SPRINT,dscript,0.3713,both->0
SPRINT,dscript,0.4904,both->1
SPRINT,dscript,0.1673,0->1
D-SCRIPT,du,0.9998,both->0
D-SCRIPT,du,0.9991,both->1
D-SCRIPT,du,0.9967,0->1
D-SCRIPT,guo,1,both->0
D-SCRIPT,guo,0.9322,both->1
D-SCRIPT,guo,1,0->1
D-SCRIPT,huang,0.8837,both->0
D-SCRIPT,huang,0.9244,both->1
D-SCRIPT,huang,0.9983,0->1
D-SCRIPT,richoux,0.9508,both->0
D-SCRIPT,richoux,0.9633,both->1
D-SCRIPT,richoux,0.9803,0->1
D-SCRIPT,pan,0.9737,both->0
D-SCRIPT,pan,0.7805,both->1
D-SCRIPT,pan,0.7291,0->1
D-SCRIPT,dscript,0.9939,both->0
D-SCRIPT,dscript,0.9951,both->1
D-SCRIPT,dscript,0.9991,0->1
Topsy_Turvy,du,0.5924,both->0
Topsy_Turvy,du,0.9474,both->1
Topsy_Turvy,du,0.519,0->1
Topsy_Turvy,guo,0.4239,both->0
Topsy_Turvy,guo,0.9295,both->1
Topsy_Turvy,guo,1,0->1
Topsy_Turvy,huang,1,both->0
Topsy_Turvy,huang,1,both->1
Topsy_Turvy,huang,1,0->1
Topsy_Turvy,richoux,0.9306,both->0
Topsy_Turvy,richoux,0.9956,both->1
Topsy_Turvy,richoux,0.9803,0->1
Topsy_Turvy,pan,0.9996,both->0
Topsy_Turvy,pan,0.8126,both->1
Topsy_Turvy,pan,0.7302,0->1
Topsy_Turvy,dscript,0.9996,both->0
Topsy_Turvy,dscript,0.9871,both->1
Topsy_Turvy,dscript,0.9869,0->1
