Model,Dataset,Specificity,Partition
degree_cons,huang,0.989211618257261,both->0
degree_hf,huang,0.956846473029046,both->0
degree_cons,huang,0.910238429172511,both->1
degree_hf,huang,0.892005610098177,both->1
degree_cons,pan,0,0->1
degree_hf,pan,0,0->1
degree_cons,pan,0.970060264136428,both->0
degree_hf,pan,0.960058981920759,both->0
degree_cons,pan,0.74814167031045,both->1
degree_hf,pan,0.743769129864451,both->1
degree_cons,richoux,0,0->1
degree_hf,richoux,0,0->1
degree_cons,richoux,0.369254243753576,both->0
degree_hf,richoux,0.495422468052642,both->0
degree_cons,richoux,0.521221146686523,both->1
degree_hf,richoux,0.658972449739389,both->1
DeepFE,dscript,0.9864,0->1
DeepFE,dscript,0.9203,both->0
DeepFE,dscript,0.9867,both->1
DeepFE,du,0.28,0->1
DeepFE,du,0.9125,both->0
DeepFE,du,0.9067,both->1
DeepFE,guo,0.4669,0->1
DeepFE,guo,0.8888,both->0
DeepFE,guo,0.9199,both->1
DeepFE,huang,0.1613,0->1
DeepFE,huang,0.9452,both->0
DeepFE,huang,0.8906,both->1
DeepFE,pan,0.1115,0->1
DeepFE,pan,0.9603,both->0
DeepFE,pan,0.7137,both->1
DeepFE,richoux,0.9038,0->1
DeepFE,richoux,0.7772,both->0
DeepFE,richoux,0.8276,both->1
deepPPI_FC,dscript,0.9993,0->1
deepPPI_FC,dscript,0.9618,both->0
deepPPI_FC,dscript,0.9878,both->1
deepPPI_FC,du,0.0705,0->1
deepPPI_FC,du,0.8524,both->0
deepPPI_FC,du,0.8987,both->1
deepPPI_FC,guo,0.0294,0->1
deepPPI_FC,guo,0.8435,both->0
deepPPI_FC,guo,0.8566,both->1
deepPPI_FC,huang,0.1684,0->1
deepPPI_FC,huang,0.9611,both->0
deepPPI_FC,huang,0.8782,both->1
deepPPI_FC,pan,0.0311,0->1
deepPPI_FC,pan,0.963,both->0
deepPPI_FC,pan,0.7259,both->1
deepPPI_FC,richoux,0.9744,0->1
deepPPI_FC,richoux,0.795,both->0
deepPPI_FC,richoux,0.8532,both->1
deepPPI_LSTM,dscript,0.9627,0->1
deepPPI_LSTM,dscript,0.954,both->0
deepPPI_LSTM,dscript,0.986,both->1
deepPPI_LSTM,du,0.3774,0->1
deepPPI_LSTM,du,0.8395,both->0
deepPPI_LSTM,du,0.9511,both->1
deepPPI_LSTM,guo,0.7478,0->1
deepPPI_LSTM,guo,0.0528,both->0
deepPPI_LSTM,guo,0.9283,both->1
deepPPI_LSTM,huang,0,0->1
deepPPI_LSTM,huang,0.0389,both->0
deepPPI_LSTM,huang,0.9398,both->1
deepPPI_LSTM,pan,0.2707,0->1
deepPPI_LSTM,pan,0.9515,both->0
deepPPI_LSTM,pan,0.7556,both->1
deepPPI_LSTM,richoux,0.8478,0->1
deepPPI_LSTM,richoux,0.8647,both->0
deepPPI_LSTM,richoux,0.8467,both->1
PIPR,dscript,0.9835,0->1
PIPR,dscript,0.9697,both->0
PIPR,dscript,0.9839,both->1
PIPR,du,0.5118,0->1
PIPR,du,0.841,both->0
PIPR,du,0.8662,both->1
PIPR,guo,0.5041,0->1
PIPR,guo,0.8237,both->0
PIPR,guo,0.849,both->1
PIPR,huang,0.418,0->1
PIPR,huang,0.6523,both->0
PIPR,huang,0.8976,both->1
PIPR,pan,0.1889,0->1
PIPR,pan,0.9281,both->0
PIPR,pan,0.7215,both->1
PIPR,richoux,0.9332,0->1
PIPR,richoux,0.8248,both->0
PIPR,richoux,0.8974,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
SPRINT,huang,0.4813,0->1
SPRINT,richoux,0.789,both->0
SPRINT,richoux,0.7911,both->1
SPRINT,richoux,0.5963,0->1
SPRINT,pan,0.7627,both->0
SPRINT,pan,0.7152,both->1
SPRINT,pan,0.4811,0->1
SPRINT,dscript,0.3713,both->0
SPRINT,dscript,0.4904,both->1
SPRINT,dscript,0.1673,0->1
D-SCRIPT,du,0.935,both->0
D-SCRIPT,du,0.9751,both->1
D-SCRIPT,du,0.9981,0->1
D-SCRIPT,guo,0.9746,both->0
D-SCRIPT,guo,0.9905,both->1
D-SCRIPT,guo,0.9932,0->1
D-SCRIPT,huang,1,both->0
D-SCRIPT,huang,0.9815,both->1
D-SCRIPT,huang,1,0->1
D-SCRIPT,richoux,1,both->0
D-SCRIPT,richoux,0.996,both->1
D-SCRIPT,richoux,0.7815,0->1
D-SCRIPT,pan,0.9895,both->0
D-SCRIPT,pan,0.9986,both->1
D-SCRIPT,pan,0.9819,0->1
D-SCRIPT,dscript,0.9965,both->0
D-SCRIPT,dscript,0.9994,both->1
D-SCRIPT,dscript,0.9994,0->1
Topsy_Turvy,du,0.9564,both->0
Topsy_Turvy,du,0.97,both->1
Topsy_Turvy,du,0.9559,0->1
Topsy_Turvy,guo,0.6623,both->0
Topsy_Turvy,guo,0.9743,both->1
Topsy_Turvy,guo,0.9526,0->1
Topsy_Turvy,huang,1,both->0
Topsy_Turvy,huang,0.9697,both->1
Topsy_Turvy,huang,0.9798,0->1
Topsy_Turvy,richoux,0.9891,both->0
Topsy_Turvy,richoux,0.7892,both->1
Topsy_Turvy,richoux,0.8886,0->1
Topsy_Turvy,pan,0.984,both->0
Topsy_Turvy,pan,0.7895,both->1
Topsy_Turvy,pan,0.8854,0->1
Topsy_Turvy,dscript,0.9991,both->0
Topsy_Turvy,dscript,0.9781,both->1
Topsy_Turvy,dscript,0.999,0->1
