Model,Dataset,MCC,Partition
degree_hf,guo,0.616131588691892,both->1
degree_cons,huang,0,0->1
degree_hf,huang,0,0->1
degree_cons,huang,0.698051868644067,both->0
degree_hf,huang,0.799923159975515,both->0
degree_cons,huang,0.805144912782024,both->1
degree_hf,huang,0.799534146839292,both->1
degree_cons,pan,0,0->1
degree_hf,pan,0,0->1
degree_cons,pan,0.734854919028352,both->0
degree_hf,pan,0.80221790983318,both->0
degree_cons,pan,0.635050537477911,both->1
degree_hf,pan,0.656013371861219,both->1
degree_cons,richoux,0,0->1
degree_hf,richoux,0,0->1
degree_cons,richoux,0.436950860700779,both->0
degree_hf,richoux,0.515864035241662,both->0
degree_cons,richoux,0.467934315568571,both->1
degree_hf,richoux,0.558086733981227,both->1
DeepFE,dscript,0.1285,0->1
DeepFE,dscript,0.3437,both->0
DeepFE,dscript,0.7044,both->1
DeepFE,du,0.0203,0->1
DeepFE,du,,both->0
DeepFE,du,,both->1
DeepFE,guo,0.0676,0->1
DeepFE,guo,0.1893,both->0
DeepFE,guo,0.1038,both->1
DeepFE,huang,0.1471,0->1
DeepFE,huang,0.0753,both->0
DeepFE,huang,0.0375,both->1
DeepFE,pan,0.0036,0->1
DeepFE,pan,0.1342,both->0
DeepFE,pan,0.3119,both->1
DeepFE,richoux,-0.0221,0->1
DeepFE,richoux,0.0289,both->0
DeepFE,richoux,,both->1
deepPPI_FC,dscript,,0->1
deepPPI_FC,dscript,0.2614,both->0
deepPPI_FC,dscript,0.4914,both->1
deepPPI_FC,du,0.0761,0->1
deepPPI_FC,du,0.5238,both->0
deepPPI_FC,du,0.4702,both->1
deepPPI_FC,guo,-0.0062,0->1
deepPPI_FC,guo,0.2946,both->0
deepPPI_FC,guo,0.6628,both->1
deepPPI_FC,huang,0.027,0->1
deepPPI_FC,huang,0.3702,both->0
deepPPI_FC,huang,0.4073,both->1
deepPPI_FC,pan,-0.0064,0->1
deepPPI_FC,pan,0.4801,both->0
deepPPI_FC,pan,0.724,both->1
deepPPI_FC,richoux,0.0294,0->1
deepPPI_FC,richoux,0.5235,both->0
deepPPI_FC,richoux,0.6257,both->1
deepPPI_LSTM,dscript,,0->1
deepPPI_LSTM,dscript,,both->0
deepPPI_LSTM,dscript,,both->1
deepPPI_LSTM,du,,0->1
deepPPI_LSTM,du,,both->0
deepPPI_LSTM,du,,both->1
deepPPI_LSTM,guo,,0->1
deepPPI_LSTM,guo,0.0322,both->0
deepPPI_LSTM,guo,,both->1
deepPPI_LSTM,huang,-0.0017,0->1
deepPPI_LSTM,huang,-0.0943,both->0
deepPPI_LSTM,huang,,both->1
deepPPI_LSTM,pan,,0->1
deepPPI_LSTM,pan,,both->0
deepPPI_LSTM,pan,,both->1
deepPPI_LSTM,richoux,-0.0091,0->1
deepPPI_LSTM,richoux,,both->0
deepPPI_LSTM,richoux,,both->1
PIPR,dscript,,0->1
PIPR,dscript,0.0974,both->0
PIPR,dscript,0.4258,both->1
PIPR,du,0.0428,0->1
PIPR,du,0.5296,both->0
PIPR,du,0.6037,both->1
PIPR,guo,0.136,0->1
PIPR,guo,0.1963,both->0
PIPR,guo,0.383,both->1
PIPR,huang,0.0473,0->1
PIPR,huang,0.0708,both->0
PIPR,huang,,both->1
PIPR,pan,0.0354,0->1
PIPR,pan,0.8196,both->0
PIPR,pan,0.6253,both->1
PIPR,richoux,0.1401,0->1
PIPR,richoux,0.5414,both->0
PIPR,richoux,0.6265,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
SPRINT,huang,0.4813,0->1
SPRINT,richoux,0.789,both->0
SPRINT,richoux,0.7911,both->1
SPRINT,richoux,0.5963,0->1
SPRINT,pan,0.7627,both->0
SPRINT,pan,0.7152,both->1
SPRINT,pan,0.4811,0->1
SPRINT,dscript,0.3713,both->0
SPRINT,dscript,0.4904,both->1
SPRINT,dscript,0.1673,0->1
D-SCRIPT,du,0.0096,both->0
D-SCRIPT,du,0.0966,both->1
D-SCRIPT,du,0.1151,0->1
D-SCRIPT,guo,0.0168,both->0
D-SCRIPT,guo,0.1083,both->1
D-SCRIPT,guo,,0->1
D-SCRIPT,huang,0.6259,both->0
D-SCRIPT,huang,0.1434,both->1
D-SCRIPT,huang,0.0549,0->1
D-SCRIPT,richoux,0.2794,both->0
D-SCRIPT,richoux,0.3385,both->1
D-SCRIPT,richoux,0.2047,0->1
D-SCRIPT,pan,0.6108,both->0
D-SCRIPT,pan,0.5266,both->1
D-SCRIPT,pan,0.2888,0->1
D-SCRIPT,dscript,0.3683,both->0
D-SCRIPT,dscript,0.5741,both->1
D-SCRIPT,dscript,0.344,0->1
Topsy_Turvy,du,0.3368,both->0
Topsy_Turvy,du,0.4863,both->1
Topsy_Turvy,du,0.2045,0->1
Topsy_Turvy,guo,-0.1044,both->0
Topsy_Turvy,guo,-0.1653,both->1
Topsy_Turvy,guo,,0->1
Topsy_Turvy,huang,,both->0
Topsy_Turvy,huang,,both->1
Topsy_Turvy,huang,,0->1
Topsy_Turvy,richoux,0.4695,both->0
Topsy_Turvy,richoux,0.0124,both->1
Topsy_Turvy,richoux,0.1294,0->1
Topsy_Turvy,pan,0.0483,both->0
Topsy_Turvy,pan,0.5618,both->1
Topsy_Turvy,pan,0.2111,0->1
Topsy_Turvy,dscript,0.0625,both->0
Topsy_Turvy,dscript,0.0692,both->1
Topsy_Turvy,dscript,0.2417,0->1
