Model,Dataset,Recall,Partition
degree_hf,guo,0.67479674796748,both->1
degree_cons,huang,1,0->1
degree_hf,huang,1,0->1
degree_cons,huang,0.673029045643154,both->0
degree_hf,huang,0.837344398340249,both->0
degree_cons,huang,0.894810659186536,both->1
degree_hf,huang,0.907433380084152,both->1
degree_cons,pan,1,0->1
degree_hf,pan,1,0->1
degree_cons,pan,0.745971624831482,both->0
degree_hf,pan,0.835783526994928,both->0
degree_cons,pan,0.88167104111986,both->1
degree_hf,pan,0.903980752405949,both->1
degree_cons,richoux,1,0->1
degree_hf,richoux,1,0->1
degree_cons,richoux,0.975395765782949,both->0
degree_hf,richoux,0.954987602517643,both->0
degree_cons,richoux,0.906552494415488,both->1
degree_hf,richoux,0.879002233804915,both->1
DeepFE,dscript,0.0385,0->1
DeepFE,dscript,0.6193,both->0
DeepFE,dscript,0.7059,both->1
DeepFE,du,0.8013,0->1
DeepFE,du,0.8258,both->0
DeepFE,du,0.8744,both->1
DeepFE,guo,0.6365,0->1
DeepFE,guo,0.8017,both->0
DeepFE,guo,0.856,both->1
DeepFE,huang,0.8808,0->1
DeepFE,huang,0.9643,both->0
DeepFE,huang,0.9691,both->1
DeepFE,pan,0.8979,0->1
DeepFE,pan,0.956,both->0
DeepFE,pan,0.9609,both->1
DeepFE,richoux,0.1546,0->1
DeepFE,richoux,0.7542,both->0
DeepFE,richoux,0.7705,both->1
deepPPI_FC,dscript,0.0028,0->1
deepPPI_FC,dscript,0.5895,both->0
deepPPI_FC,dscript,0.701,both->1
deepPPI_FC,du,0.9676,0->1
deepPPI_FC,du,0.9014,both->0
deepPPI_FC,du,0.8941,both->1
deepPPI_FC,guo,0.9799,0->1
deepPPI_FC,guo,0.8503,both->0
deepPPI_FC,guo,0.8772,both->1
deepPPI_FC,huang,0.8786,0->1
deepPPI_FC,huang,0.9696,both->0
deepPPI_FC,huang,0.9776,both->1
deepPPI_FC,pan,0.9785,0->1
deepPPI_FC,pan,0.9651,both->0
deepPPI_FC,pan,0.9804,both->1
deepPPI_FC,richoux,0.061,0->1
deepPPI_FC,richoux,0.7624,both->0
deepPPI_FC,richoux,0.7698,both->1
deepPPI_LSTM,dscript,0.0863,0->1
deepPPI_LSTM,dscript,0.4739,both->0
deepPPI_LSTM,dscript,0.6894,both->1
deepPPI_LSTM,du,0.6131,0->1
deepPPI_LSTM,du,0.8516,both->0
deepPPI_LSTM,du,0.7711,both->1
deepPPI_LSTM,guo,0.2845,0->1
deepPPI_LSTM,guo,0.994,both->0
deepPPI_LSTM,guo,0.6917,both->1
deepPPI_LSTM,huang,1,0->1
deepPPI_LSTM,huang,0.993,both->0
deepPPI_LSTM,huang,0.6422,both->1
deepPPI_LSTM,pan,0.7724,0->1
deepPPI_LSTM,pan,0.8743,both->0
deepPPI_LSTM,pan,0.8759,both->1
deepPPI_LSTM,richoux,0.1946,0->1
deepPPI_LSTM,richoux,0.5997,both->0
deepPPI_LSTM,richoux,0.7382,both->1
PIPR,dscript,0.0572,0->1
PIPR,dscript,0.5262,both->0
PIPR,dscript,0.6708,both->1
PIPR,du,0.6167,0->1
PIPR,du,0.8721,both->0
PIPR,du,0.879,both->1
PIPR,guo,0.6551,0->1
PIPR,guo,0.7858,both->0
PIPR,guo,0.8002,both->1
PIPR,huang,0.6269,0->1
PIPR,huang,0.9469,both->0
PIPR,huang,0.8373,both->1
PIPR,pan,0.8061,0->1
PIPR,pan,0.9351,both->0
PIPR,pan,0.9421,both->1
PIPR,richoux,0.1935,0->1
PIPR,richoux,0.6982,both->0
PIPR,richoux,0.7248,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
SPRINT,huang,0.4813,0->1
SPRINT,richoux,0.789,both->0
SPRINT,richoux,0.7911,both->1
SPRINT,richoux,0.5963,0->1
SPRINT,pan,0.7627,both->0
SPRINT,pan,0.7152,both->1
SPRINT,pan,0.4811,0->1
SPRINT,dscript,0.3713,both->0
SPRINT,dscript,0.4904,both->1
SPRINT,dscript,0.1673,0->1
