Model	Dataset	Metric	Value	Split
topsyturvy	du	Accuracy	0.6665	both->0
topsyturvy	du	Precision	0.645	both->0
topsyturvy	du	Sensitivity	0.7406	both->0
topsyturvy	du	Recall	0.7406	both->0
topsyturvy	du	Specificity	0.5924	both->0
topsyturvy	du	MCC	0.3368	both->0
topsyturvy	du	F1	0.6895	both->0
topsyturvy	du	AUC	0.70490799612158	both->0
topsyturvy	du	AUPR	0.6494229704429683	both->0
topsyturvy	du	TP	4058	both->0
topsyturvy	du	FP	2233	both->0
topsyturvy	du	TN	3246	both->0
topsyturvy	du	FN	1421	both->0
topsyturvy	du	Accuracy	0.7154	both->1
topsyturvy	du	Precision	0.9019	both->1
topsyturvy	du	Sensitivity	0.4833	both->1
topsyturvy	du	Recall	0.4833	both->1
topsyturvy	du	Specificity	0.9474	both->1
topsyturvy	du	MCC	0.4863	both->1
topsyturvy	du	F1	0.6294	both->1
topsyturvy	du	AUC	0.7891147219840917	both->1
topsyturvy	du	AUPR	0.8284028176328564	both->1
topsyturvy	du	TP	1030	both->1
topsyturvy	du	FP	112	both->1
topsyturvy	du	TN	2019	both->1
topsyturvy	du	FN	1101	both->1
topsyturvy	du	Accuracy	0.6009	0->1
topsyturvy	du	Precision	0.5867	0->1
topsyturvy	du	Sensitivity	0.6828	0->1
topsyturvy	du	Recall	0.6828	0->1
topsyturvy	du	Specificity	0.519	0->1
topsyturvy	du	MCC	0.2045	0->1
topsyturvy	du	F1	0.6311	0->1
topsyturvy	du	AUC	0.6160473059642677	0->1
topsyturvy	du	AUPR	0.5491314312916462	0->1
topsyturvy	du	TP	1455	0->1
topsyturvy	du	FP	1025	0->1
topsyturvy	du	TN	1106	0->1
topsyturvy	du	FN	676	0->1
topsyturvy	guo	Accuracy	0.4479	both->0
topsyturvy	guo	Precision	0.4502	both->0
topsyturvy	guo	Sensitivity	0.4718	both->0
topsyturvy	guo	Recall	0.4718	both->0
topsyturvy	guo	Specificity	0.4239	both->0
topsyturvy	guo	MCC	-0.1044	both->0
topsyturvy	guo	F1	0.4608	both->0
topsyturvy	guo	AUC	0.4307283967721148	both->0
topsyturvy	guo	AUPR	0.43579695392534945	both->0
topsyturvy	guo	TP	837	both->0
topsyturvy	guo	FP	1022	both->0
topsyturvy	guo	TN	752	both->0
topsyturvy	guo	FN	937	both->0
topsyturvy	guo	Accuracy	0.4682	both->1
topsyturvy	guo	Precision	0.0877	both->1
topsyturvy	guo	Sensitivity	0.0068	both->1
topsyturvy	guo	Recall	0.0068	both->1
topsyturvy	guo	Specificity	0.9295	both->1
topsyturvy	guo	MCC	-0.1653	both->1
topsyturvy	guo	F1	0.0126	both->1
topsyturvy	guo	AUC	0.4025758109884621	both->1
topsyturvy	guo	AUPR	0.4184771555825942	both->1
topsyturvy	guo	TP	5	both->1
topsyturvy	guo	FP	52	both->1
topsyturvy	guo	TN	686	both->1
topsyturvy	guo	FN	733	both->1
topsyturvy	guo	Accuracy	0.5	0->1
topsyturvy	guo	Precision	0.0	0->1
topsyturvy	guo	Sensitivity	0.0	0->1
topsyturvy	guo	Recall	0.0	0->1
topsyturvy	guo	Specificity	1.0	0->1
topsyturvy	guo	MCC	nan	0->1
topsyturvy	guo	F1	0.0	0->1
topsyturvy	guo	AUC	0.4364851168836892	0->1
topsyturvy	guo	AUPR	0.4799482922624105	0->1
topsyturvy	guo	TP	0	0->1
topsyturvy	guo	FP	0	0->1
topsyturvy	guo	TN	738	0->1
topsyturvy	guo	FN	738	0->1
topsyturvy	huang	Accuracy	0.5	both->0
topsyturvy	huang	Precision	0.0	both->0
topsyturvy	huang	Sensitivity	0.0	both->0
topsyturvy	huang	Recall	0.0	both->0
topsyturvy	huang	Specificity	1.0	both->0
topsyturvy	huang	MCC	nan	both->0
topsyturvy	huang	F1	0.0	both->0
topsyturvy	huang	AUC	0.3977236981326318	both->0
topsyturvy	huang	AUPR	0.41879618992321643	both->0
topsyturvy	huang	TP	0	both->0
topsyturvy	huang	FP	0	both->0
topsyturvy	huang	TN	748	both->0
topsyturvy	huang	FN	748	both->0
topsyturvy	huang	Accuracy	0.5	both->1
topsyturvy	huang	Precision	0.0	both->1
topsyturvy	huang	Sensitivity	0.0	both->1
topsyturvy	huang	Recall	0.0	both->1
topsyturvy	huang	Specificity	1.0	both->1
topsyturvy	huang	MCC	nan	both->1
topsyturvy	huang	F1	0.0	both->1
topsyturvy	huang	AUC	0.5851903114186852	both->1
topsyturvy	huang	AUPR	0.572953777191137	both->1
topsyturvy	huang	TP	0	both->1
topsyturvy	huang	FP	0	both->1
topsyturvy	huang	TN	595	both->1
topsyturvy	huang	FN	595	both->1
topsyturvy	huang	Accuracy	0.5	0->1
topsyturvy	huang	Precision	0.0	0->1
topsyturvy	huang	Sensitivity	0.0	0->1
topsyturvy	huang	Recall	0.0	0->1
topsyturvy	huang	Specificity	1.0	0->1
topsyturvy	huang	MCC	nan	0->1
topsyturvy	huang	F1	0.0	0->1
topsyturvy	huang	AUC	0.5552489230986513	0->1
topsyturvy	huang	AUPR	0.5139194038984329	0->1
topsyturvy	huang	TP	0	0->1
topsyturvy	huang	FP	0	0->1
topsyturvy	huang	TN	595	0->1
topsyturvy	huang	FN	595	0->1
topsyturvy	richoux	Accuracy	0.7108	both->0
topsyturvy	richoux	Precision	0.8762	both->0
topsyturvy	richoux	Sensitivity	0.4911	both->0
topsyturvy	richoux	Recall	0.4911	both->0
topsyturvy	richoux	Specificity	0.9306	both->0
topsyturvy	richoux	MCC	0.4695	both->0
topsyturvy	richoux	F1	0.6294	both->0
topsyturvy	richoux	AUC	0.8514250833316118	both->0
topsyturvy	richoux	AUPR	0.8391100190111411	both->0
topsyturvy	richoux	TP	9024	both->0
topsyturvy	richoux	FP	1275	both->0
topsyturvy	richoux	TN	17101	both->0
topsyturvy	richoux	FN	9352	both->0
topsyturvy	richoux	Accuracy	0.5009	both->1
topsyturvy	richoux	Precision	0.5849	both->1
topsyturvy	richoux	Sensitivity	0.0062	both->1
topsyturvy	richoux	Recall	0.0062	both->1
topsyturvy	richoux	Specificity	0.9956	both->1
topsyturvy	richoux	MCC	0.0124	both->1
topsyturvy	richoux	F1	0.0123	both->1
topsyturvy	richoux	AUC	0.7319566619893229	both->1
