Model	Dataset	Metric	Value	Split
topsyturvy	richoux	F1	0.2727	both->0
topsyturvy	richoux	AUC	0.574336090552895	both->0
topsyturvy	richoux	AUPR	0.5695685238007789	both->0
topsyturvy	richoux	TP	2933	both->0
topsyturvy	richoux	FP	201	both->0
topsyturvy	richoux	TN	18175	both->0
topsyturvy	richoux	FN	15443	both->0
topsyturvy	richoux	Accuracy	0.6776	both->1
topsyturvy	richoux	Precision	0.7286	both->1
topsyturvy	richoux	Sensitivity	0.5661	both->1
topsyturvy	richoux	Recall	0.5661	both->1
topsyturvy	richoux	Specificity	0.7892	both->1
topsyturvy	richoux	MCC	0.3644	both->1
topsyturvy	richoux	F1	0.6371	both->1
topsyturvy	richoux	AUC	0.6776104417670683	both->1
topsyturvy	richoux	AUPR	0.6294091070926249	both->1
topsyturvy	richoux	TP	2819	both->1
topsyturvy	richoux	FP	1050	both->1
topsyturvy	richoux	TN	3930	both->1
topsyturvy	richoux	FN	2161	both->1
topsyturvy	richoux	Accuracy	0.4787	0->1
topsyturvy	richoux	Precision	0.382	0->1
topsyturvy	richoux	Sensitivity	0.0689	0->1
topsyturvy	richoux	Recall	0.0689	0->1
topsyturvy	richoux	Specificity	0.8886	0->1
topsyturvy	richoux	MCC	-0.0743	0->1
topsyturvy	richoux	F1	0.1167	0->1
topsyturvy	richoux	AUC	0.47871485943775094	0->1
topsyturvy	richoux	AUPR	0.49186992960706966	0->1
topsyturvy	richoux	TP	343	0->1
topsyturvy	richoux	FP	555	0->1
topsyturvy	richoux	TN	4425	0->1
topsyturvy	richoux	FN	4637	0->1
topsyturvy	pan	Accuracy	0.6342	both->0
topsyturvy	pan	Precision	0.9467	both->0
topsyturvy	pan	Sensitivity	0.2843	both->0
topsyturvy	pan	Recall	0.2843	both->0
topsyturvy	pan	Specificity	0.984	both->0
topsyturvy	pan	MCC	0.3755	both->0
topsyturvy	pan	F1	0.4373	both->0
topsyturvy	pan	AUC	0.6341578997251446	both->0
topsyturvy	pan	AUPR	0.6270033761992533	both->0
topsyturvy	pan	TP	3000	both->0
topsyturvy	pan	FP	169	both->0
topsyturvy	pan	TN	10382	both->0
topsyturvy	pan	FN	7551	both->0
topsyturvy	pan	Accuracy	0.7621	both->1
topsyturvy	pan	Precision	0.7773	both->1
topsyturvy	pan	Sensitivity	0.7348	both->1
topsyturvy	pan	Recall	0.7348	both->1
topsyturvy	pan	Specificity	0.7895	both->1
topsyturvy	pan	MCC	0.5251	both->1
topsyturvy	pan	F1	0.7554	both->1
topsyturvy	pan	AUC	0.7621331828442437	both->1
topsyturvy	pan	AUPR	0.703759644216839	both->1
