Model	Dataset	Seed	Metric	Value	Split
dscript	huang	7413	Sensitivity	0.6091	original
dscript	huang	7413	Recall	0.6091	original
dscript	huang	7413	Specificity	0.7877	original
dscript	huang	7413	MCC	0.4033	original
dscript	huang	7413	F1	0.6688	original
dscript	huang	7413	AUC	0.7709691515495087	original
dscript	huang	7413	AUPR	0.7724604813518157	original
dscript	huang	7413	TP	307	original
dscript	huang	7413	FP	107	original
dscript	huang	7413	TN	397	original
dscript	huang	7413	FN	197	original
dscript	huang	17612	Accuracy	0.4712	original
dscript	huang	17612	Precision	0.0364	original
dscript	huang	17612	Sensitivity	0.0023	original
dscript	huang	17612	Recall	0.0023	original
dscript	huang	17612	Specificity	0.94	original
dscript	huang	17612	MCC	-0.1662	original
dscript	huang	17612	F1	0.0043	original
dscript	huang	17612	AUC	0.5391423189533384	original
dscript	huang	17612	AUPR	0.46846825336194897	original
dscript	huang	17612	TP	2	original
dscript	huang	17612	FP	53	original
dscript	huang	17612	TN	831	original
dscript	huang	17612	FN	882	original
dscript	huang	29715	Accuracy	0.4962	original
dscript	huang	29715	Precision	0.0	original
dscript	huang	29715	Sensitivity	0.0	original
dscript	huang	29715	Recall	0.0	original
dscript	huang	29715	Specificity	0.9924	original
dscript	huang	29715	MCC	-0.0618	original
dscript	huang	29715	F1	0.0	original
dscript	huang	29715	AUC	0.7119852317524468	original
dscript	huang	29715	AUPR	0.6013051909160925	original
dscript	huang	29715	TP	0	original
dscript	huang	29715	FP	9	original
dscript	huang	29715	TN	1174	original
dscript	huang	29715	FN	1183	original
dscript	huang	30940	Accuracy	0.7206	original
dscript	huang	30940	Precision	0.8241	original
dscript	huang	30940	Sensitivity	0.5609	original
dscript	huang	30940	Recall	0.5609	original
dscript	huang	30940	Specificity	0.8803	original
dscript	huang	30940	MCC	0.4656	original
dscript	huang	30940	F1	0.6675	original
dscript	huang	30940	AUC	0.8215317033815036	original
dscript	huang	30940	AUPR	0.7716426661088495	original
dscript	huang	30940	TP	806	original
dscript	huang	30940	FP	172	original
dscript	huang	30940	TN	1265	original
dscript	huang	30940	FN	631	original
dscript	huang	31191	Accuracy	0.7731	original
dscript	huang	31191	Precision	0.9703	original
dscript	huang	31191	Sensitivity	0.5633	original
dscript	huang	31191	Recall	0.5633	original
dscript	huang	31191	Specificity	0.9828	original
dscript	huang	31191	MCC	0.6016	original
dscript	huang	31191	F1	0.7128	original
dscript	huang	31191	AUC	0.9306607042085181	original
dscript	huang	31191	AUPR	0.9368342492555157	original
dscript	huang	31191	TP	916	original
dscript	huang	31191	FP	28	original
dscript	huang	31191	TN	1598	original
dscript	huang	31191	FN	710	original
dscript	huang	42446	Accuracy	0.7338	original
dscript	huang	42446	Precision	0.9771	original
dscript	huang	42446	Sensitivity	0.4789	original
dscript	huang	42446	Recall	0.4789	original
dscript	huang	42446	Specificity	0.9888	original
dscript	huang	42446	MCC	0.5436	original
dscript	huang	42446	F1	0.6428	original
dscript	huang	42446	AUC	0.9373248134740418	original
dscript	huang	42446	AUPR	0.9380433283408052	original
dscript	huang	42446	TP	852	original
dscript	huang	42446	FP	20	original
dscript	huang	42446	TN	1759	original
dscript	huang	42446	FN	927	original
dscript	huang	50495	Accuracy	0.66	original
dscript	huang	50495	Precision	0.7034	original
dscript	huang	50495	Sensitivity	0.5533	original
dscript	huang	50495	Recall	0.5533	original
dscript	huang	50495	Specificity	0.7667	original
dscript	huang	50495	MCC	0.3276	original
dscript	huang	50495	F1	0.6194	original
dscript	huang	50495	AUC	0.7535767155822499	original
dscript	huang	50495	AUPR	0.6580792308460216	original
dscript	huang	50495	TP	1053	original
dscript	huang	50495	FP	444	original
dscript	huang	50495	TN	1459	original
dscript	huang	50495	FN	850	original
dscript	huang	60688	Accuracy	0.7621	original
dscript	huang	60688	Precision	0.9926	original
dscript	huang	60688	Sensitivity	0.5281	original
dscript	huang	60688	Recall	0.5281	original
dscript	huang	60688	Specificity	0.9961	original
dscript	huang	60688	MCC	0.5931	original
dscript	huang	60688	F1	0.6894	original
dscript	huang	60688	AUC	0.9895418772296333	original
dscript	huang	60688	AUPR	0.984502023505931	original
dscript	huang	60688	TP	1071	original
dscript	huang	60688	FP	8	original
dscript	huang	60688	TN	2020	original
dscript	huang	60688	FN	957	original
dscript	huang	75212	Accuracy	0.3993	original
dscript	huang	75212	Precision	0.3631	original
dscript	huang	75212	Sensitivity	0.2671	original
dscript	huang	75212	Recall	0.2671	original
dscript	huang	75212	Specificity	0.5314	original
dscript	huang	75212	MCC	-0.2089	original
dscript	huang	75212	F1	0.3078	original
dscript	huang	75212	AUC	0.4047760770975056	original
dscript	huang	75212	AUPR	0.4127416910201183	original
dscript	huang	75212	TP	561	original
dscript	huang	75212	FP	984	original
dscript	huang	75212	TN	1116	original
dscript	huang	75212	FN	1539	original
dscript	huang	81645	Accuracy	0.456	original
dscript	huang	81645	Precision	0.469	original
dscript	huang	81645	Sensitivity	0.6651	original
dscript	huang	81645	Recall	0.6651	original
dscript	huang	81645	Specificity	0.247	original
dscript	huang	81645	MCC	-0.0968	original
dscript	huang	81645	F1	0.5501	original
dscript	huang	81645	AUC	0.40697825851811786	original
dscript	huang	81645	AUPR	0.42378748380023523	original
dscript	huang	81645	TP	1430	original
dscript	huang	81645	FP	1619	original
dscript	huang	81645	TN	531	original
dscript	huang	81645	FN	720	original
dscript	guo	7413	Accuracy	0.5077	rewired
dscript	guo	7413	Precision	0.8421	rewired
dscript	guo	7413	Sensitivity	0.0189	rewired
dscript	guo	7413	Recall	0.0189	rewired
dscript	guo	7413	Specificity	0.9964	rewired
dscript	guo	7413	MCC	0.073	rewired
dscript	guo	7413	F1	0.037	rewired
dscript	guo	7413	AUC	0.6188921956514127	rewired
dscript	guo	7413	AUPR	0.6269103789784818	rewired
dscript	guo	7413	TP	16	rewired
dscript	guo	7413	FP	3	rewired
dscript	guo	7413	TN	842	rewired
dscript	guo	7413	FN	829	rewired
dscript	guo	17612	Accuracy	0.4925	rewired
dscript	guo	17612	Precision	0.2326	rewired
dscript	guo	17612	Sensitivity	0.0065	rewired
dscript	guo	17612	Recall	0.0065	rewired
dscript	guo	17612	Specificity	0.9784	rewired
dscript	guo	17612	MCC	-0.0639	rewired
dscript	guo	17612	F1	0.0127	rewired
dscript	guo	17612	AUC	0.5340048788604529	rewired
dscript	guo	17612	AUPR	0.5020483442981656	rewired
dscript	guo	17612	TP	10	rewired
dscript	guo	17612	FP	33	rewired
dscript	guo	17612	TN	1496	rewired
dscript	guo	17612	FN	1519	rewired
dscript	guo	29715	Accuracy	0.5884	rewired
dscript	guo	29715	Precision	0.5966	rewired
dscript	guo	29715	Sensitivity	0.5461	rewired
dscript	guo	29715	Recall	0.5461	rewired
dscript	guo	29715	Specificity	0.6308	rewired
dscript	guo	29715	MCC	0.1775	rewired
dscript	guo	29715	F1	0.5702	rewired
dscript	guo	29715	AUC	0.6177846471894362	rewired
dscript	guo	29715	AUPR	0.6056070047181901	rewired
dscript	guo	29715	TP	1161	rewired
dscript	guo	29715	FP	785	rewired
dscript	guo	29715	TN	1341	rewired
dscript	guo	29715	FN	965	rewired
dscript	guo	30940	Accuracy	0.4979	rewired
dscript	guo	30940	Precision	0.4154	rewired
dscript	guo	30940	Sensitivity	0.0105	rewired
dscript	guo	30940	Recall	0.0105	rewired
dscript	guo	30940	Specificity	0.9853	rewired
dscript	guo	30940	MCC	-0.0191	rewired
dscript	guo	30940	F1	0.0204	rewired
dscript	guo	30940	AUC	0.6274432922969791	rewired
dscript	guo	30940	AUPR	0.5681031749747649	rewired
dscript	guo	30940	TP	27	rewired
dscript	guo	30940	FP	38	rewired
dscript	guo	30940	TN	2545	rewired
dscript	guo	30940	FN	2556	rewired
dscript	guo	31191	Accuracy	0.5291	rewired
dscript	guo	31191	Precision	0.6966	rewired
dscript	guo	31191	Sensitivity	0.1032	rewired
dscript	guo	31191	Recall	0.1032	rewired
dscript	guo	31191	Specificity	0.955	rewired
dscript	guo	31191	MCC	0.1112	rewired
dscript	guo	31191	F1	0.1798	rewired
dscript	guo	31191	AUC	0.6351209191772911	rewired
dscript	guo	31191	AUPR	0.6206407435129666	rewired
dscript	guo	31191	TP	303	rewired
dscript	guo	31191	FP	132	rewired
dscript	guo	31191	TN	2803	rewired
dscript	guo	31191	FN	2632	rewired
dscript	guo	42446	Accuracy	0.4869	rewired
dscript	guo	42446	Precision	0.1368	rewired
dscript	guo	42446	Sensitivity	0.0049	rewired
dscript	guo	42446	Recall	0.0049	rewired
dscript	guo	42446	Specificity	0.9688	rewired
dscript	guo	42446	MCC	-0.0985	rewired
dscript	guo	42446	F1	0.0095	rewired
dscript	guo	42446	AUC	0.42355957301625297	rewired
dscript	guo	42446	AUPR	0.426665307036299	rewired
dscript	guo	42446	TP	16	rewired
dscript	guo	42446	FP	101	rewired
dscript	guo	42446	TN	3141	rewired
dscript	guo	42446	FN	3226	rewired
dscript	guo	50495	Accuracy	0.4987	rewired
dscript	guo	50495	Precision	0.2353	rewired
dscript	guo	50495	Sensitivity	0.0012	rewired
dscript	guo	50495	Recall	0.0012	rewired
dscript	guo	50495	Specificity	0.9962	rewired
dscript	guo	50495	MCC	-0.0263	rewired
dscript	guo	50495	F1	0.0023	rewired
dscript	guo	50495	AUC	0.41557823854024883	rewired
dscript	guo	50495	AUPR	0.43797845355522963	rewired
dscript	guo	50495	TP	4	rewired
dscript	guo	50495	FP	13	rewired
dscript	guo	50495	TN	3445	rewired
dscript	guo	50495	FN	3454	rewired
dscript	guo	60688	Accuracy	0.5191	rewired
dscript	guo	60688	Precision	0.6741	rewired
dscript	guo	60688	Sensitivity	0.0739	rewired
dscript	guo	60688	Recall	0.0739	rewired
dscript	guo	60688	Specificity	0.9643	rewired
dscript	guo	60688	MCC	0.0839	rewired
dscript	guo	60688	F1	0.1333	rewired
dscript	guo	60688	AUC	0.5410190791175699	rewired
dscript	guo	60688	AUPR	0.5554359291523552	rewired
dscript	guo	60688	TP	271	rewired
dscript	guo	60688	FP	131	rewired
dscript	guo	60688	TN	3534	rewired
dscript	guo	60688	FN	3394	rewired
dscript	guo	75212	Accuracy	0.5001	rewired
dscript	guo	75212	Precision	0.5263	rewired
dscript	guo	75212	Sensitivity	0.0026	rewired
dscript	guo	75212	Recall	0.0026	rewired
dscript	guo	75212	Specificity	0.9976	rewired
dscript	guo	75212	MCC	0.0026	rewired
dscript	guo	75212	F1	0.0052	rewired
dscript	guo	75212	AUC	0.6131867113049092	rewired
dscript	guo	75212	AUPR	0.597074055703801	rewired
dscript	guo	75212	TP	10	rewired
dscript	guo	75212	FP	9	rewired
dscript	guo	75212	TN	3797	rewired
dscript	guo	75212	FN	3796	rewired
dscript	guo	81645	Accuracy	0.5013	rewired
dscript	guo	81645	Precision	0.7273	rewired
dscript	guo	81645	Sensitivity	0.0041	rewired
dscript	guo	81645	Recall	0.0041	rewired
dscript	guo	81645	Specificity	0.9985	rewired
dscript	guo	81645	MCC	0.0241	rewired
dscript	guo	81645	F1	0.0081	rewired
dscript	guo	81645	AUC	0.7072675508977601	rewired
dscript	guo	81645	AUPR	0.68192876577999	rewired
dscript	guo	81645	TP	16	rewired
dscript	guo	81645	FP	6	rewired
dscript	guo	81645	TN	3910	rewired
dscript	guo	81645	FN	3900	rewired
dscript	huang	7413	Accuracy	0.5	rewired
dscript	huang	7413	Precision	0.0	rewired
dscript	huang	7413	Sensitivity	0.0	rewired
dscript	huang	7413	Recall	0.0	rewired
dscript	huang	7413	Specificity	1.0	rewired
dscript	huang	7413	MCC	nan	rewired
dscript	huang	7413	F1	0.0	rewired
dscript	huang	7413	AUC	0.7975855851599899	rewired
dscript	huang	7413	AUPR	0.7296480821916937	rewired
dscript	huang	7413	TP	0	rewired
dscript	huang	7413	FP	0	rewired
dscript	huang	7413	TN	504	rewired
dscript	huang	7413	FN	504	rewired
dscript	huang	17612	Accuracy	0.5	rewired
dscript	huang	17612	Precision	0.0	rewired
dscript	huang	17612	Sensitivity	0.0	rewired
dscript	huang	17612	Recall	0.0	rewired
dscript	huang	17612	Specificity	1.0	rewired
dscript	huang	17612	MCC	nan	rewired
dscript	huang	17612	F1	0.0	rewired
dscript	huang	17612	AUC	0.8676803300505723	rewired
dscript	huang	17612	AUPR	0.8895591725207745	rewired
dscript	huang	17612	TP	0	rewired
dscript	huang	17612	FP	0	rewired
dscript	huang	17612	TN	884	rewired
dscript	huang	17612	FN	884	rewired
dscript	huang	29715	Accuracy	0.6369	rewired
dscript	huang	29715	Precision	0.985	rewired
dscript	huang	29715	Sensitivity	0.2781	rewired
dscript	huang	29715	Recall	0.2781	rewired
dscript	huang	29715	Specificity	0.9958	rewired
dscript	huang	29715	MCC	0.3933	rewired
dscript	huang	29715	F1	0.4338	rewired
dscript	huang	29715	AUC	0.8887208116676872	rewired
dscript	huang	29715	AUPR	0.8991231906821402	rewired
dscript	huang	29715	TP	329	rewired
dscript	huang	29715	FP	5	rewired
dscript	huang	29715	TN	1178	rewired
dscript	huang	29715	FN	854	rewired
dscript	huang	30940	Accuracy	0.532	rewired
dscript	huang	30940	Precision	0.8026	rewired
dscript	huang	30940	Sensitivity	0.0849	rewired
dscript	huang	30940	Recall	0.0849	rewired
dscript	huang	30940	Specificity	0.9791	rewired
dscript	huang	30940	MCC	0.143	rewired
dscript	huang	30940	F1	0.1536	rewired
dscript	huang	30940	AUC	0.7620598662740216	rewired
dscript	huang	30940	AUPR	0.7110950095662968	rewired
dscript	huang	30940	TP	122	rewired
dscript	huang	30940	FP	30	rewired
dscript	huang	30940	TN	1407	rewired
dscript	huang	30940	FN	1315	rewired
dscript	huang	31191	Accuracy	0.6239	rewired
dscript	huang	31191	Precision	0.9809	rewired
dscript	huang	31191	Sensitivity	0.2528	rewired
dscript	huang	31191	Recall	0.2528	rewired
dscript	huang	31191	Specificity	0.9951	rewired
dscript	huang	31191	MCC	0.3699	rewired
dscript	huang	31191	F1	0.402	rewired
dscript	huang	31191	AUC	0.9000439128007516	rewired
dscript	huang	31191	AUPR	0.9035683611485017	rewired
dscript	huang	31191	TP	411	rewired
dscript	huang	31191	FP	8	rewired
dscript	huang	31191	TN	1618	rewired
dscript	huang	31191	FN	1215	rewired
dscript	huang	42446	Accuracy	0.6388	rewired
dscript	huang	42446	Precision	0.975	rewired
dscript	huang	42446	Sensitivity	0.285	rewired
dscript	huang	42446	Recall	0.285	rewired
dscript	huang	42446	Specificity	0.9927	rewired
dscript	huang	42446	MCC	0.393	rewired
dscript	huang	42446	F1	0.4411	rewired
dscript	huang	42446	AUC	0.7991415682494002	rewired
dscript	huang	42446	AUPR	0.8295882751430557	rewired
dscript	huang	42446	TP	507	rewired
dscript	huang	42446	FP	13	rewired
