both	0	RF	1.366178035736084
both	0	SVM	8.619488000869751
both	1	RF	1.180880069732666
both	1	SVM	5.294679641723633
0	1	RF	1.1004531383514404
0	1	SVM	5.04166316986084
both	0	RF	1.3055000305175781
both	0	SVM	3.8843019008636475
both	1	RF	1.1128003597259521
both	1	SVM	2.7186896800994873
0	1	RF	1.1603946685791016
0	1	SVM	2.277440309524536
both	0	RF	1.1660375595092773
both	0	SVM	3.9979889392852783
both	1	RF	1.154871940612793
both	1	SVM	2.179555892944336
0	1	RF	1.0766212940216064
0	1	SVM	2.3305678367614746
