both	0	RF	69.56984424591064
both	0	SVM	8083.311144351959
both	1	RF	67.76938915252686
both	1	SVM	7230.641626358032
0	1	RF	57.13222670555115
0	1	SVM	5569.437941789627
both	0	RF	86.43229675292969
both	0	SVM	183.24306797981262
both	1	RF	89.66582226753235
both	1	SVM	156.86465311050415
0	1	RF	73.71787691116333
0	1	SVM	136.25538325309753
both	0	RF	80.28165674209595
both	0	SVM	163.08177614212036
both	1	RF	84.83557891845703
both	1	SVM	139.66421961784363
0	1	RF	73.21511220932007
0	1	SVM	143.85650825500488
