both	0	RF	4.926387786865234
both	0	SVM	113.95467805862427
both	1	RF	4.9007041454315186
both	1	SVM	71.65452885627747
0	1	RF	4.435617685317993
0	1	SVM	62.82910919189453
both	0	RF	5.151831388473511
both	0	SVM	20.190632820129395
both	1	RF	5.248141527175903
both	1	SVM	12.983662843704224
0	1	RF	4.571637392044067
0	1	SVM	13.72608733177185
both	0	RF	5.03962254524231
both	0	SVM	16.477585315704346
both	1	RF	4.641947269439697
both	1	SVM	11.060939073562622
0	1	RF	4.46115779876709
0	1	SVM	10.657171487808228
