both	0	RF	14.181145668029785
both	0	SVM	948.8714389801025
both	1	RF	13.697044610977173
both	1	SVM	697.1714909076691
0	1	RF	16.383513689041138
0	1	SVM	1310.1399929523468
both	0	RF	14.861289262771606
both	0	SVM	41.33061861991882
both	1	RF	13.27312159538269
both	1	SVM	34.71782612800598
0	1	RF	17.133421182632446
0	1	SVM	48.246241331100464
both	0	RF	13.095564842224121
both	0	SVM	33.75977921485901
both	1	RF	11.906736612319946
both	1	SVM	18.779603719711304
0	1	RF	14.17167615890503
0	1	SVM	25.852409839630127
