both	0	RF	105.3162579536438
both	0	SVM	159.02184963226318
both	1	RF	105.11192846298218
both	1	SVM	135.61533308029175
0	1	RF	69.83174419403076
0	1	SVM	114.56996846199036
both	0	RF	110.79782485961914
both	0	SVM	174.71221733093262
both	1	RF	109.39863586425781
both	1	SVM	147.85562443733215
0	1	RF	67.61520028114319
0	1	SVM	124.64088177680969
both	0	RF	108.82091665267944
both	0	SVM	195.1009600162506
both	1	RF	237.79499554634094
both	1	SVM	152.76041984558105
0	1	RF	70.94123482704163
0	1	SVM	130.8433723449707
