Filename,Algorithm,Time [s],Test,Dataset,Encoding,Part_Train,Part_Test,Model
rewired_Richoux-Regular_node2vec,SVM,1175.74509525299,rewired,Richoux-Regular,node2vec,,,SVM_node2vec
rewired_Richoux-Regular_PCA,RF,268.502116203308,rewired,Richoux-Regular,PCA,,,RF_PCA
rewired_Richoux-Regular_PCA,SVM,1399.84995341301,rewired,Richoux-Regular,PCA,,,SVM_PCA
rewired_Richoux-Strict_MDS,RF,384.913528203964,rewired,Richoux-Strict,MDS,,,RF_MDS
rewired_Richoux-Strict_MDS,SVM,2625.74417734146,rewired,Richoux-Strict,MDS,,,SVM_MDS
rewired_Richoux-Strict_node2vec,RF,245.731874227524,rewired,Richoux-Strict,node2vec,,,RF_node2vec
rewired_Richoux-Strict_node2vec,SVM,1074.09765768051,rewired,Richoux-Strict,node2vec,,,SVM_node2vec
rewired_Richoux-Strict_PCA,RF,262.637027740479,rewired,Richoux-Strict,PCA,,,RF_PCA
rewired_Richoux-Strict_PCA,SVM,1254.42660140991,rewired,Richoux-Strict,PCA,,,SVM_PCA
partition_du_MDS,RF,37.7117278575897,partition,du,MDS,both,0,RF_MDS_both_0
partition_du_MDS,SVM,91.7260162830353,partition,du,MDS,both,0,SVM_MDS_both_0
partition_du_MDS,RF,39.013592004776,partition,du,MDS,both,1,RF_MDS_both_1
partition_du_MDS,SVM,66.9606266021729,partition,du,MDS,both,1,SVM_MDS_both_1
partition_du_MDS,RF,46.1133019924164,partition,du,MDS,0,1,RF_MDS_0_1
partition_du_MDS,SVM,103.52957034111,partition,du,MDS,0,1,SVM_MDS_0_1
partition_du_node2vec,RF,37.7778480052948,partition,du,node2vec,both,0,RF_node2vec_both_0
partition_du_node2vec,SVM,59.4371209144592,partition,du,node2vec,both,0,SVM_node2vec_both_0
partition_du_node2vec,RF,37.2752439975739,partition,du,node2vec,both,1,RF_node2vec_both_1
partition_du_node2vec,SVM,35.9277617931366,partition,du,node2vec,both,1,SVM_node2vec_both_1
partition_du_node2vec,RF,48.9997744560242,partition,du,node2vec,0,1,RF_node2vec_0_1
partition_du_node2vec,SVM,44.0899286270142,partition,du,node2vec,0,1,SVM_node2vec_0_1
partition_du_PCA,RF,41.1365435123444,partition,du,PCA,both,0,RF_PCA_both_0
partition_du_PCA,SVM,68.0694036483765,partition,du,PCA,both,0,SVM_PCA_both_0
partition_du_PCA,RF,38.3297410011292,partition,du,PCA,both,1,RF_PCA_both_1
partition_du_PCA,SVM,39.8167831897736,partition,du,PCA,both,1,SVM_PCA_both_1
partition_du_PCA,RF,38.3863048553467,partition,du,PCA,0,1,RF_PCA_0_1
partition_du_PCA,SVM,49.1877496242523,partition,du,PCA,0,1,SVM_PCA_0_1
partition_guo_MDS,RF,8.47177791595459,partition,guo,MDS,both,0,RF_MDS_both_0
partition_guo_MDS,SVM,5.84500122070313,partition,guo,MDS,both,0,SVM_MDS_both_0
partition_guo_MDS,RF,8.41406035423279,partition,guo,MDS,both,1,RF_MDS_both_1
partition_guo_MDS,SVM,2.65597581863403,partition,guo,MDS,both,1,SVM_MDS_both_1
partition_guo_MDS,RF,13.3650271892548,partition,guo,MDS,0,1,RF_MDS_0_1
partition_guo_MDS,SVM,5.56711316108704,partition,guo,MDS,0,1,SVM_MDS_0_1
partition_guo_node2vec,RF,8.12169623374939,partition,guo,node2vec,both,0,RF_node2vec_both_0
partition_guo_node2vec,SVM,5.32363152503967,partition,guo,node2vec,both,0,SVM_node2vec_both_0
partition_guo_node2vec,RF,8.28843855857849,partition,guo,node2vec,both,1,RF_node2vec_both_1
partition_guo_node2vec,SVM,2.48903131484985,partition,guo,node2vec,both,1,SVM_node2vec_both_1
partition_guo_node2vec,RF,16.3414480686188,partition,guo,node2vec,0,1,RF_node2vec_0_1
partition_guo_node2vec,SVM,5.30127310752869,partition,guo,node2vec,0,1,SVM_node2vec_0_1
partition_guo_PCA,RF,8.66687059402466,partition,guo,PCA,both,0,RF_PCA_both_0
partition_guo_PCA,SVM,5.18070507049561,partition,guo,PCA,both,0,SVM_PCA_both_0
partition_guo_PCA,RF,8.469482421875,partition,guo,PCA,both,1,RF_PCA_both_1
partition_guo_PCA,SVM,2.33187484741211,partition,guo,PCA,both,1,SVM_PCA_both_1
