variable,value
n,5507
n_pos,2695
n_neg,2812
n_train,4437
n_train_pos,2164
n_train_neg,2273
n_test,1070
n_test_pos,531
n_test_neg,539
Accuracy,0.9065
Precision,0.8897
Recall,0.9266
Specificity,0.8868
MCC,0.8138
F1,0.9077
AUC,0.9067
AUPR,0.8608
