variable,value
n,51427
n_pos,24271
n_neg,27156
n_train,41064
n_train_pos,19341
n_train_neg,21723
n_test,10363
n_test_pos,4930
n_test_neg,5433
Accuracy,0.9356
Precision,0.9392
Recall,0.9245
Specificity,0.9457
MCC,0.871
F1,0.9318
AUC,0.9351
AUPR,0.9042
