variable,value
n,32541
n_pos,15449
n_neg,17092
n_train,24564
n_train_pos,11679
n_train_neg,12885
n_test,7977
n_test_pos,3770
n_test_neg,4207
Accuracy,0.4789
Precision,0.4751
Recall,0.9785
Specificity,0.0311
MCC,0.03
F1,0.6396
AUC,0.5048
AUPR,0.475
