variable,value
n,48690
n_pos,24351
n_neg,24339
n_train,34963
n_train_pos,17487
n_train_neg,17476
n_test,13727
n_test_pos,6864
n_test_neg,6863
Accuracy,0.8126
Precision,0.8137
Recall,0.8109
Specificity,0.8144
MCC,0.6253
F1,0.8123
AUC,0.8126
AUPR,0.7544
