variable,value
n,89704
n_pos,44852
n_neg,44852
n_train,77280
n_train_pos,38640
n_train_neg,38640
n_test,12424
n_test_pos,6212
n_test_neg,6212
Accuracy,0.8796
Precision,0.8174
Recall,0.9776
Specificity,0.7816
MCC,0.7742
F1,0.8903
AUC,0.8796
AUPR,0.8103
