variable,value
n,27001
n_pos,12825
n_neg,14176
n_train,19024
n_train_pos,9055
n_train_neg,9969
n_test,7977
n_test_pos,3770
n_test_neg,4207
Accuracy,0.7761
Precision,0.7561
Recall,0.7769
Specificity,0.7754
MCC,0.5517
F1,0.7664
AUC,0.7761
AUPR,0.6928
