variable,value
n,30502
n_pos,15316
n_neg,15186
n_train,24279
n_train_pos,12168
n_train_neg,12111
n_test,6223
n_test_pos,3148
n_test_neg,3075
Accuracy,0.8276
Precision,0.7899
Recall,0.898
Specificity,0.7554
MCC,0.6609
F1,0.8405
AUC,0.8267
AUPR,0.7609
