variable,value
n,153355
n_pos,77144
n_neg,76211
n_train,109777
n_train_pos,55313
n_train_neg,54464
n_test,43578
n_test_pos,21831
n_test_neg,21747
Accuracy,0.5252
Precision,0.5256
Recall,0.5368
Specificity,0.5136
MCC,0.0505
F1,0.5311
AUC,0.5252
AUPR,0.5142
