variable,value
n,8120
n_pos,4085
n_neg,4035
n_train,3373
n_train_pos,1708
n_train_neg,1665
n_test,4747
n_test_pos,2377
n_test_neg,2370
Accuracy,0.5519
Precision,0.5292
Recall,0.9541
Specificity,0.1485
MCC,0.1734
F1,0.6808
AUC,0.5513
AUPR,0.5279
