variable,value
n,49914
n_pos,24971
n_neg,24943
n_train,39584
n_train_pos,19806
n_train_neg,19778
n_test,10330
n_test_pos,5165
n_test_neg,5165
Accuracy,0.5212
Precision,0.5611
Recall,0.1946
Specificity,0.8478
MCC,0.056
F1,0.289
AUC,0.5212
AUPR,0.5119
