variable,value
n,9783
n_pos,4890
n_neg,4893
n_train,7824
n_train_pos,3919
n_train_neg,3905
n_test,1959
n_test_pos,971
n_test_neg,988
Accuracy,0.6636
Precision,0.8421
Recall,0.3955
Specificity,0.9271
MCC,0.3817
F1,0.5382
AUC,0.6613
AUPR,0.6327
