variable,value
n,65025
n_pos,32529
n_neg,32496
n_train,34963
n_train_pos,17487
n_train_neg,17476
n_test,30062
n_test_pos,15042
n_test_neg,15020
Accuracy,0.7713
Precision,0.7831
Recall,0.751
Specificity,0.7917
MCC,0.5432
F1,0.7667
AUC,0.7714
AUPR,0.7127
