variable,value
n,124250
n_pos,62249
n_neg,62001
n_train,75562
n_train_pos,37890
n_train_neg,37672
n_test,48688
n_test_pos,24359
n_test_neg,24329
Accuracy,0.5076
Precision,0.5087
Recall,0.4624
Specificity,0.5528
MCC,0.0153
F1,0.4844
AUC,0.5076
AUPR,0.5042
