variable,value
n,3609
n_pos,1759
n_neg,1850
n_train,2318
n_train_pos,1133
n_train_neg,1185
n_test,1291
n_test_pos,626
n_test_neg,665
Accuracy,0.9264
Precision,0.8831
Recall,0.9776
Specificity,0.8782
MCC,0.8578
F1,0.928
AUC,0.9279
AUPR,0.8742
