variable,value
n,67874
n_pos,34300
n_neg,33574
n_train,67363
n_train_pos,34044
n_train_neg,33319
n_test,511
n_test_pos,256
n_test_neg,255
Accuracy,0.6712
Precision,0.7857
Recall,0.4727
Specificity,0.8706
MCC,0.374
F1,0.5902
AUC,0.6716
AUPR,0.6356
