variable,value
n,30502
n_pos,15316
n_neg,15186
n_train,24279
n_train_pos,12168
n_train_neg,12111
n_test,6223
n_test_pos,3148
n_test_neg,3075
Accuracy,0.9095
Precision,0.9045
Recall,0.918
Specificity,0.9008
MCC,0.8191
F1,0.9112
AUC,0.9094
AUPR,0.8719
