variable,value
n,30502
n_pos,15316
n_neg,15186
n_train,24279
n_train_pos,12168
n_train_neg,12111
n_test,6223
n_test_pos,3148
n_test_neg,3075
Accuracy,0.4993
Precision,0.5173
Recall,0.1518
Specificity,0.855
MCC,0.0096
F1,0.2348
AUC,0.5034
AUPR,0.5076
