variable,value
n,3681
n_pos,1868
n_neg,1813
n_train,2377
n_train_pos,1216
n_train_neg,1161
n_test,1304
n_test_pos,652
n_test_neg,652
Accuracy,0.8443
Precision,0.8046
Recall,0.9095
Specificity,0.7791
MCC,0.6946
F1,0.8539
AUC,0.8443
AUPR,0.777
