variable,value
n,68564
n_pos,34282
n_neg,34282
n_train,68052
n_train_pos,34026
n_train_neg,34026
n_test,512
n_test_pos,256
n_test_neg,256
Accuracy,0.7383
Precision,0.805
Recall,0.6289
Specificity,0.8477
MCC,0.4884
F1,0.7061
AUC,0.7383
AUPR,0.6918
