variable,value
n,25650
n_pos,12960
n_neg,12690
n_train,12632
n_train_pos,6391
n_train_neg,6241
n_test,13018
n_test_pos,6569
n_test_neg,6449
Accuracy,0.8687
Precision,0.8786
Recall,0.8584
Specificity,0.8792
MCC,0.7377
F1,0.8684
AUC,0.8688
AUPR,0.8257
