variable,value
n,6102
n_pos,3059
n_neg,3043
n_train,4739
n_train_pos,2377
n_train_neg,2362
n_test,1363
n_test_pos,682
n_test_neg,681
Accuracy,0.5363
Precision,0.5269
Recall,0.7185
Specificity,0.3539
MCC,0.0777
F1,0.6079
AUC,0.5362
AUPR,0.5194
