variable,value
n,3609
n_pos,1759
n_neg,1850
n_train,2318
n_train_pos,1133
n_train_neg,1185
n_test,1291
n_test_pos,626
n_test_neg,665
Accuracy,0.9063
Precision,0.8541
Recall,0.9728
Specificity,0.8436
MCC,0.8206
F1,0.9096
AUC,0.9082
AUPR,0.8441
