variable,value
n,51427
n_pos,24271
n_neg,27156
n_train,41064
n_train_pos,19341
n_train_neg,21723
n_test,10363
n_test_pos,4930
n_test_neg,5433
Accuracy,0.8912
Precision,0.9587
Recall,0.8061
Specificity,0.9685
MCC,0.7897
F1,0.8758
AUC,0.8873
AUPR,0.8651
