variable,value
n,3044
n_pos,1480
n_neg,1564
n_train,1753
n_train_pos,854
n_train_neg,899
n_test,1291
n_test_pos,626
n_test_neg,665
Accuracy,0.5259
Precision,0.6061
Recall,0.0639
Specificity,0.9609
MCC,0.0563
F1,0.1156
AUC,0.5124
AUPR,0.4926
