variable,value
n,78926
n_pos,39904
n_neg,39022
n_train,66652
n_train_pos,33692
n_train_neg,32960
n_test,12274
n_test_pos,6212
n_test_neg,6062
Accuracy,0.8261
Precision,0.8442
Recall,0.8051
Specificity,0.8477
MCC,0.6531
F1,0.8242
AUC,0.8264
AUPR,0.7783
