variable,value
n,5550
n_pos,2782
n_neg,2768
n_train,3971
n_train_pos,1984
n_train_neg,1987
n_test,1579
n_test_pos,798
n_test_neg,781
Accuracy,0.5807
Precision,0.557
Recall,0.8333
Specificity,0.3227
MCC,0.1816
F1,0.6677
AUC,0.578
AUPR,0.5484
