variable,value
n,9742
n_pos,4867
n_neg,4875
n_train,7747
n_train_pos,3871
n_train_neg,3876
n_test,1995
n_test_pos,996
n_test_neg,999
Accuracy,0.5594
Precision,0.599
Recall,0.3554
Specificity,0.7628
MCC,0.1294
F1,0.4461
AUC,0.5591
AUPR,0.5347
