variable,value
n,43797
n_pos,21906
n_neg,21891
n_train,30069
n_train_pos,15042
n_train_neg,15027
n_test,13728
n_test_pos,6864
n_test_neg,6864
Accuracy,0.5235
Precision,0.6597
Recall,0.0972
Specificity,0.9499
MCC,0.0901
F1,0.1694
AUC,0.5235
AUPR,0.5155
