variable,value
n,67743
n_pos,34232
n_neg,33511
n_train,67231
n_train_pos,33976
n_train_neg,33255
n_test,512
n_test_pos,256
n_test_neg,256
Accuracy,0.6562
Precision,0.839
Recall,0.3867
Specificity,0.9258
MCC,0.371
F1,0.5294
AUC,0.6562
AUPR,0.6311
