variable,value
n,5356
n_pos,2615
n_neg,2741
n_train,4276
n_train_pos,2086
n_train_neg,2190
n_test,1080
n_test_pos,529
n_test_neg,551
Accuracy,0.9306
Precision,0.9809
Recall,0.8752
Specificity,0.9837
MCC,0.8656
F1,0.9251
AUC,0.9295
AUPR,0.9197
