variable,value
n,30534
n_pos,15267
n_neg,15267
n_train,24478
n_train_pos,12239
n_train_neg,12239
n_test,6056
n_test_pos,3028
n_test_neg,3028
Accuracy,0.6374
Precision,0.5857
Recall,0.9392
Specificity,0.3355
MCC,0.3447
F1,0.7215
AUC,0.6374
AUPR,0.5805
