variable,value
n,4737
n_pos,2390
n_neg,2347
n_train,3373
n_train_pos,1708
n_train_neg,1665
n_test,1364
n_test_pos,682
n_test_neg,682
Accuracy,0.8541
Precision,0.8791
Recall,0.8211
Specificity,0.8871
MCC,0.7098
F1,0.8491
AUC,0.8541
AUPR,0.8113
