variable,value
n,30407
n_pos,15255
n_neg,15152
n_train,24285
n_train_pos,12184
n_train_neg,12101
n_test,6122
n_test_pos,3071
n_test_neg,3051
Accuracy,0.8742
Precision,0.9179
Recall,0.8229
Specificity,0.9259
MCC,0.7526
F1,0.8678
AUC,0.8744
AUPR,0.8442
