variable,value
n,5336
n_pos,2668
n_neg,2668
n_train,4242
n_train_pos,2121
n_train_neg,2121
n_test,1094
n_test_pos,547
n_test_neg,547
Accuracy,0.7888
Precision,0.7194
Recall,0.947
Specificity,0.6307
MCC,0.609
F1,0.8177
AUC,0.7888
AUPR,0.7078
