variable,value
n,16887
n_pos,8511
n_neg,8376
n_train,12331
n_train_pos,6226
n_train_neg,6105
n_test,4556
n_test_pos,2285
n_test_neg,2271
Accuracy,0.5252
Precision,0.5151
Recall,0.9116
Specificity,0.1365
MCC,0.0761
F1,0.6582
AUC,0.5241
AUPR,0.5139
