variable,value
n,43588
n_pos,20734
n_neg,22854
n_train,19024
n_train_pos,9055
n_train_neg,9969
n_test,24564
n_test_pos,11679
n_test_neg,12885
Accuracy,0.7361
Precision,0.6924
Recall,0.8006
Specificity,0.6777
MCC,0.4801
F1,0.7426
AUC,0.7391
AUPR,0.6492
