variable,value
n,79124
n_pos,39562
n_neg,39562
n_train,78612
n_train_pos,39306
n_train_neg,39306
n_test,512
n_test_pos,256
n_test_neg,256
Accuracy,0.7188
Precision,0.8182
Recall,0.5625
Specificity,0.875
MCC,0.4606
F1,0.6667
AUC,0.7188
AUPR,0.679
