variable,value
n,32541
n_pos,15449
n_neg,17092
n_train,24564
n_train_pos,11679
n_train_neg,12885
n_test,7977
n_test_pos,3770
n_test_neg,4207
Accuracy,0.4725
Precision,0.4725
Recall,0.9992
Specificity,0.0005
MCC,-0.0064
F1,0.6416
AUC,0.4998
AUPR,0.4725
