variable,value
n,17755
n_pos,8925
n_neg,8830
n_train,13038
n_train_pos,6568
n_train_neg,6470
n_test,4717
n_test_pos,2357
n_test_neg,2360
Accuracy,0.5139
Precision,0.5076
Recall,0.9118
Specificity,0.1165
MCC,0.0466
F1,0.6521
AUC,0.5141
AUPR,0.5069
