variable,value
n,5430
n_pos,2644
n_neg,2786
n_train,4379
n_train_pos,2122
n_train_neg,2257
n_test,1051
n_test_pos,522
n_test_neg,529
Accuracy,0.8906
Precision,0.8539
Recall,0.9406
Specificity,0.8412
MCC,0.7853
F1,0.8952
AUC,0.8909
AUPR,0.8327
