variable,value
n,231642
n_pos,22032
n_neg,209610
n_train,138519
n_train_pos,13565
n_train_neg,124954
n_test,93123
n_test_pos,8467
n_test_neg,84656
Accuracy,0.8831
Precision,0.1882
Recall,0.0863
Specificity,0.9627
MCC,0.0706
F1,0.1184
AUC,0.5245
AUPR,0.0993
