variable,value
n,78926
n_pos,39904
n_neg,39022
n_train,66652
n_train_pos,33692
n_train_neg,32960
n_test,12274
n_test_pos,6212
n_test_neg,6062
Accuracy,0.8036
Precision,0.8591
Recall,0.732
Specificity,0.8769
MCC,0.6147
F1,0.7904
AUC,0.8045
AUPR,0.7645
