variable,value
n,5357
n_pos,2615
n_neg,2742
n_train,4284
n_train_pos,2095
n_train_neg,2189
n_test,1073
n_test_pos,520
n_test_neg,553
Accuracy,0.987
Precision,0.9922
Recall,0.9808
Specificity,0.9928
MCC,0.9739
F1,0.9865
AUC,0.9868
AUPR,0.9825
